LevelId,CryLevel,DisplayName,Name,Matching_Name,Pos,Rotate
,arena_004,,SwitchRegionTrigger1_0,MHPlayerSpawnPoint1_0,"2030.2454,225.72934,23.70294","0.74314481,0,0,0.66913062"
,arena_004,,SwitchRegionTrigger1_4,MHPlayerSpawnPoint1_4,"665.43939,1327.6172,140.375","0.94551855,0,0,0.32556817"
,arena_004,,SwitchRegionTrigger7_6_Tip,,"2271.1641,1755.3154,177.01871","0.95881975,0,0,-0.28401536"
,arena_004,,SwitchRegionTrigger10_11_Tip,,"3227.4656,973.2135,184.4274","0.52991933,0,0,-0.84804803"
,arena_004,,SwitchRegionTrigger3_10_Tip,,"2388.957,701.81818,85.161789","0.6018151,0,0,0.79863548"
,arena_004,,SwitchRegionTrigger1_2_Tip,,"1432.0189,765.53644,57.250301","0.92718387,0,0,-0.37460658"
,arena_004,,SwitchRegionTrigger2_1,MHPlayerSpawnPoint2_1,"1423.3239,749.94934,55.34375","0.026176875,0,0,0.99965733"
,arena_004,,SwitchRegionTrigger4_1,MHPlayerSpawnPoint4_1,"1366.3199,737.7323,55.34375","0.70090926,0,0,-0.71325046"
,arena_004,,SwitchRegionTrigger9_8_Tip,,"548.77637,3576.5884,59.684505","-0.026176997,0,0,0.99965733"
,arena_004,,SwitchRegionTrigger2_4,MHPlayerSpawnPoint2_4,"693.01099,1395.4655,140.375","0.72537428,0,0,0.68835467"
,arena_004,,SwitchRegionTrigger2_4_Tip,,"1435.5477,2111.104,121.08057","0.97437012,0,0,-0.22495095"
,arena_004,,SwitchRegionTrigger10_3_Tip,,"3150.1919,934.50879,184.4274","0.94551855,0,0,-0.32556814"
,arena_004,,SwitchRegionTrigger7_5_Tip,,"2230.8928,1720.1873,179.5867","0.83867055,0,0,0.54463905"
,arena_004,,SwitchRegionTrigger10_7_Tip,,"3138.375,1007.9933,184.42743","-0.49999994,0,0,0.86602545"
,arena_004,,SwitchRegionTrigger6_5,MHPlayerSpawnPoint6_5,"1653.1099,3048.0413,211","0.0087264441,0,0,0.99996191"
,arena_004,,SwitchRegionTrigger7_5,MHPlayerSpawnPoint7_5,"1616.1285,2980.2593,211","0.64944798,0,0,0.76040602"
,arena_004,,SwitchRegionTrigger8_9_Tip,,"754.11353,2726.2109,88.315697","0.97437006,0,0,-0.22495104"
,arena_004,,SwitchRegionTrigger10_11,MHPlayerSpawnPoint10_11,"3719.4395,1510.316,47.258118","0.98480779,0,0,-0.17364809"
,arena_004,,SwitchRegionTrigger12_6,MHPlayerSpawnPoint12_6,"2552.1348,2982.8398,187.92506","0.68199801,0,0,0.731354"
,arena_004,,SwitchRegionTrigger5_2_Tip,,"1577.9723,2962.9019,211.7453","0.9426415,0,0,-0.33380687"
,arena_004,,SwitchRegionTrigger1_3,MHPlayerSpawnPoint1_3,"2313.3418,676.83679,84","0.93969262,0,0,-0.34202012"
,arena_004,,SwitchRegionTrigger4_2,MHPlayerSpawnPoint4_2,"1444.9078,2105.146,117.70461","0.51503819,0,0,-0.8571673"
,arena_004,,SwitchRegionTrigger5_2,MHPlayerSpawnPoint5_2,"1510.8622,2105.9915,118.24873","0.23344517,0,0,0.97236997"
,arena_004,,SwitchRegionTrigger6_7,MHPlayerSpawnPoint6_7,"2269.8057,1744.0483,177.75","0.026177267,0,0,0.99965733"
,arena_004,,SwitchRegionTrigger3_10,MHPlayerSpawnPoint3_10,"3156.6411,941.84827,184.45316","0.7547096,0,0,-0.65605903"
,arena_004,,SwitchRegionTrigger7_3,MHPlayerSpawnPoint7_3,"2347.0891,730.38965,84.0625","0.026176875,0,0,0.99965733"
,arena_004,,SwitchRegionTrigger3_2,MHPlayerSpawnPoint3_2,"1500.498,2037.5688,118.69412","0.84339136,0,0,0.53729975"
,arena_004,,SwitchRegionTrigger6_5_Tip,,"2478.5007,3024.0315,192.27798","-0.08715608,0,0,0.99619472"
,arena_004,,SwitchRegionTrigger11_12,MHPlayerSpawnPoint11_12,"3408.6362,2536.1196,50.536697","1,0,0,2.3664143e-007"
,arena_004,,SwitchRegionTrigger7_10_Tip,,"2291.5823,1679.2827,178.61951","0.97029573,0,0,0.24192196"
,arena_004,,SwitchRegionTrigger6_11_Tip,,"2587.1272,2949.2009,185.34824","0.70710677,0,0,-0.70710677"
,arena_004,,SwitchRegionTrigger4_8,MHPlayerSpawnPoint4_8,"746.12799,2607.4514,77.762459","1,0,0,0"
,arena_004,,SwitchRegionTrigger12_11,MHPlayerSpawnPoint12_11,"3755.5918,1639.113,47.258118","-0.052335974,0,0,0.99862951"
,arena_004,,SwitchRegionTrigger10_3,MHPlayerSpawnPoint10_3,"2372.8193,699.29419,84.0625","0.68199831,0,0,0.73135376"
,arena_004,,SwitchRegionTrigger4_1_Tip,,"669.51227,1315.0304,142.06506","-0.139173,0,0,0.99026811"
,arena_004,,SwitchRegionTrigger4_8_Tip,,"639.99719,1459.8245,141.5932","-0.052335974,0,0,0.99862951"
,arena_004,,SwitchRegionTrigger6_12,MHPlayerSpawnPoint6_12,"3380.4614,2602.135,50.516205","0.69465858,0,0,-0.71933961"
,arena_004,,SwitchRegionTrigger1_4_Tip,,"1356.3282,742.3399,57.183319","-4.17343e-008,0,0,1"
,arena_004,,SwitchRegionTrigger1_2,MHPlayerSpawnPoint1_2,"1459.712,2045.2277,117.78125","0.97437012,0,0,-0.22495095"
,arena_004,,SwitchRegionTrigger11_10_Tip,,"3713.8188,1502.8414,47.232384","0.92050481,0,0,-0.39073128"
,arena_004,,SwitchRegionTrigger7_6,MHPlayerSpawnPoint7_6,"2508.9866,2917.335,185.84937","0.99984771,0,0,0.017452542"
,arena_004,,SwitchRegionTrigger5_7,MHPlayerSpawnPoint5_7,"2240.3418,1714.8627,177.62135","0.68199819,0,0,-0.73135382"
,arena_004,,SwitchRegionTrigger5_8_Tip,,"1520.0016,3080.1907,211.8423","0.043619454,0,0,-0.99904823"
,arena_004,,SwitchRegionTrigger8_4_Tip,,"746.06293,2596.4084,76.434586","1,0,0,0"
,arena_004,,SwitchRegionTrigger3_7,MHPlayerSpawnPoint3_7,"2250.2734,1692.7714,177.62135","0.96592581,0,0,-0.25881898"
,arena_004,,SwitchRegionTrigger5_6_Tip,,"1664.7694,3054.1252,213.36234","0.47715881,0,0,0.87881708"
,arena_004,,SwitchRegionTrigger11_12_Tip,,"3751.3252,1644.427,47.232399","0.38268343,0,0,-0.9238795"
,arena_004,,SwitchRegionTrigger11_10,MHPlayerSpawnPoint11_10,"3218.5928,975.88995,184.45316","0.79863548,0,0,0.60181504"
,arena_004,,SwitchRegionTrigger2_3_Tip,,"1505.9542,2024.8768,117.9678","0.74314481,0,0,-0.66913062"
,arena_004,,SwitchRegionTrigger12_11_Tip,,"3410.5359,2526.4634,51.107578","0.026176851,0,0,0.99965733"
,arena_004,,SwitchRegionTrigger5_7_Tip,,"1629.2549,2978.6738,210.69588","0.78801078,0,0,0.61566144"
,arena_004,,SwitchRegionTrigger11_6_Tip,,"3702.2935,1583.9049,54.935223","0.61566156,0,0,-0.78801066"
,arena_004,,SwitchRegionTrigger6_12_Tip,,"2566.6982,2991.2061,190.96689","0.52991921,0,0,0.84804815"
,arena_004,,SwitchRegionTrigger9_8,MHPlayerSpawnPoint9_8,"752.52374,2722.3403,89.727226","0.23344545,0,0,0.97236991"
,arena_004,,SwitchRegionTrigger6_11,MHPlayerSpawnPoint6_11,"3714.1484,1579.764,48.603821","0.80901712,0,0,-0.58778512"
,arena_004,,SwitchRegionTrigger8_5,MHPlayerSpawnPoint8_5,"1523.4312,3069.1816,211","-0.10452866,0,0,0.99452186"
,arena_004,,SwitchRegionTrigger7_3_Tip,,"2248.9958,1680.8752,177.01871","0.99691731,0,0,-0.078459114"
,arena_005,,SwitchRegionTrigger_Red,SwitchRegionTrigger_Red_R1,"762.44189,403.96732,63.390213","0.70710671,0,0,0.70710689"
,arena_005,,SwitchRegionTrigger_Blue,SwitchRegionTrigger_Blue_R1,"716.77795,403.60666,63.484688","0.70710671,0,0,-0.70710683"
,arena_005,,SwitchRegionTrigger2,,"181.69917,517.85199,81.541054","1,0,0,0"
,arena_007,,SwitchRegionTrigger_0to1_Tips,,"44.965023,918.35278,476.5","0.97029573,0,0,-0.24192192"
,arena_007,,SwitchRegionTrigger_0to1,MHPlayerSpawnPoint_0to1,"496.40262,540.34192,250.25","-0.10452811,0,0,0.99452192"
191001;,arena_007_tutorial,,SwitchRegionTrigger_0to1_Tips,,"44.965023,918.35278,476.5","0.97029573,0,0,-0.24192192"
191001;,arena_007_tutorial,,SwitchRegionTrigger_1_To_2,SwitchRegionTrigger_1_To_2_Point,"799.81055,751.94153,131.64429","0.98162723,0,0,0.19080885"
191001;,arena_007_tutorial,,SwitchRegionTrigger_0to1,MHPlayerSpawnPoint_0to1,"496.40262,540.34192,250.25","-0.10452811,0,0,0.99452192"
,arena_008,,SwitchRegionTrigger_0to1,PlayerRegionSwitch_0to1,"742.41827,404.03641,63.431973","1,0,0,0"
,greedland,,SRT_13_to_9,SRT_13_to_9_Point,"1360.7416,749.95667,60.183624","0.50000006,0,0,-0.86602539"
,greedland,,SRT_7_to_12,SRT_7_to_12_Point,"1188.9572,712.06122,30.231171","0.98325491,0,0,0.18223554"
,greedland,,SRT_6_to_5,SRT_6_to_5_Point,"906.57648,947.14423,20.085987","0.71325046,-0,0,-0.70090932"
,greedland,,SRT_4_to_11,SRT_4_to_11_Point,"1150.6248,1035.0127,30.026928","-0.0087264935,0,0,0.99996191"
,greedland,,SRT_11_to_13,SRT_11_to_13_Point,"1221.3622,889.56403,60.006752","-0.43051103,0,0,0.90258533"
,greedland,,SRT_5_to_11,SRT_5_to_11_Point,"1047.2773,969.33844,30.014824","0.034899537,0,0,0.99939084"
,greedland,,SRT_3_to_4,SRT_3_to_4_Point,"1224.5151,1201.9604,20.19099","0.7660445,0,0,0.64278758"
,greedland,,SRT_11_to_5,SRT_11_to_5_Point,"942.51764,941.81177,20.165234","0.70710677,0,0,0.70710677"
,greedland,,SRT_12_to_6,SRT_12_to_6_Point,"987.26605,751.77911,20.054991","0.65605909,0,0,0.75470954"
,greedland,,SRT_6_to_7,SRT_6_to_7_Point,"1005.9974,582.77051,17.555342","0.034899537,0,0,0.99939084"
,greedland,,SRT_2_to_10,SRT_2_to_10_Point,"1418.9376,933.72803,40.092987","0.6946584,0,0,0.71933979"
,greedland,,SRT_12_to_7,SRT_12_to_7_Point,"1072.0056,542.08777,18.320644","0.36650121,0,0,0.9304176"
,greedland,,SRT_13_to_11,SRT_13_to_11_Point,"1120.3148,993.63202,30.241074","0.99619472,-0,0,-0.087155767"
,greedland,,SRT_12_to_13,SRT_12_to_13_Point,"1218.431,835.02386,60.188725","0.9238795,0,0,-0.38268346"
,greedland,,SRT_6_to_12,SRT_6_to_12_Point,"1083.4,774.40594,24.984375","0.034899537,0,0,0.99939084"
,greedland,,SRT_3_to_10,SRT_3_to_10_Point,"1377.0717,1031.8588,39.9226","-0.0087265214,0,0,0.99996191"
,greedland,,SRT_11_to_4,SRT_11_to_4_Point,"1137.2288,1147.5383,20.126379","0.98901588,0,0,0.14780937"
,greedland,,SRT_10_to_3,SRT_10_to_3_Point,"1418.0033,1110.0017,19.978729","0.96814764,0,0,-0.25038004"
,greedland,,SRT_3_to_2,SRT_3_to_2_Point,"1565.3817,1029.8954,24.984375","0.034899537,0,0,0.99939084"
,greedland,,SRT_10_to_13,SRT_10_to_13_Point,"1276.4559,899.29211,60.261253","0.56640625,0,0,0.82412618"
,greedland,,SRT_10_to_2,SRT_10_to_2_Point,"1532.3145,940.89886,25.083576","0.73727733,0,0,-0.67559022"
,greedland,,SRT_9_to_8,SRT_9_to_8_Point,"1375.6044,563.71088,39.967636","-0.29237172,0,0,0.95630473"
,greedland,,SRT_8_to_7,SRT_8_to_7_Point,"1134.3354,513.73016,20.133451","0.49242362,0,0,0.87035567"
,greedland,,SRT_1_to_9,SRT_1_to_9_Point,"1435.7036,802.96533,60.007099","0.43837121,0,0,0.898794"
,greedland,,SRT_2_to_1,SRT_2_to_1_Point,"1626.7234,825.15967,20.060381","0.034899537,0,0,0.99939084"
,greedland,,SRT_13_to_10,SRT_13_to_10_Point,"1382.2747,940.68921,40.057461","0.92718387,0,0,-0.37460661"
,greedland,,SRT_7_to_6,SRT_7_to_6_Point,"943.84143,743.94446,20.080267","0.99965733,0,0,-0.026176993"
,greedland,,SRT_5_to_4,SRT_5_to_4_Point,"1044.4972,1160.6005,20.144447","0.93667215,-0,0,-0.35020745"
,greedland,,SRT_8_to_1,SRT_8_to_1_Point,"1567.7863,668.4101,24.984375","0.034899537,0,0,0.99939084"
,greedland,,SRT_1_to_8,SRT_1_to_8_Point,"1461.9463,542.26611,40.106117","0.034899537,0,0,0.99939084"
,greedland,,SRT_9_to_1,SRT_9_to_1_Point,"1542.5037,753.78961,20.043224","0.56640625,0,0,-0.82412624"
,greedland,,SRT_4_to_3,SRT_4_to_3_Point,"1378.2651,1167.7937,19.966085","0.70090926,0,0,-0.71325052"
,greedland,,SRT_4_to_5,SRT_4_to_5_Point,"981.28278,1055.6444,20.240818","0.34202015,0,0,0.93969262"
,greedland,,SRT_2_to_3,SRT_2_to_3_Point,"1475.8021,1107.8295,20.075281","0.86162919,0,0,0.50753832"
,greedland,,SRT_13_to_12,SRT_13_to_12_Point,"1165.839,761.10272,30.036674","0.31730467,0,0,0.94832367"
,greedland,,SRT_8_to_9,SRT_8_to_9_Point,"1345.2238,693.22632,59.994331","0.99619472,-0,0,-0.087155767"
,greedland,,SRT_1_to_2,SRT_1_to_2_Point,"1593.8312,912.27649,24.984375","0.9953962,0,0,0.095845759"
,greedland,,SRT_9_to_13,SRT_9_to_13_Point,"1270.9127,829.612,60.063862","0.92050487,0,0,0.39073113"
,greedland,,SRT_7_to_8,SRT_7_to_8_Point,"1326.098,513.29077,40.496872","-0.47715873,0,0,0.87881714"
,greedland,,SRT_5_to_6,SRT_5_to_6_Point,"885.00842,836.97229,20.02692","0.034899537,0,0,0.99939084"
,levelfunticontestlevel,,SwitchRegionTrigger10,MHPlayerSpawnPoint11,"897.18414,1282.8831,26.4121","0.043619458,0,0,0.99904823"
,levelfunticontestlevel,,SwitchRegionTrigger18,MHPlayerSpawnPoint20,"880.44342,417.46948,26.068491","0.043619458,0,0,0.99904823"
,levelfunticontestlevel,,SwitchRegionTrigger22,MHPlayerSpawnPoint14,"894.07715,1330.9203,26.412098","0.99254614,-0,0,-0.12186937"
,levelfunticontestlevel,,SwitchRegionTrigger30,MHPlayerSpawnPoint31,"861.75684,1364.7651,26.4121","0.99254614,-0,0,-0.12186937"
,levelfunticontestlevel,,SwitchRegionTrigger15,MHPlayerSpawnPoint17,"886.77356,814.60883,26.068491","0.043619458,0,0,0.99904823"
,levelfunticontestlevel,,SwitchRegionTrigger11,MHPlayerSpawnPoint12,"901.72113,1331.7773,26.412096","0.99254614,-0,0,-0.12186937"
,levelfunticontestlevel,,SwitchRegionTrigger19,MHPlayerSpawnPoint21,"881.92993,272.92715,26.068491","0.043619458,0,0,0.99904823"
,levelfunticontestlevel,,SwitchRegionTrigger31,MHPlayerSpawnPoint32,"863.08362,1371.5365,26.4121","0.99254614,-0,0,-0.12186937"
,levelfunticontestlevel,,SwitchRegionTrigger14,MHPlayerSpawnPoint16,"885.64307,940.40546,26.068493","0.043619458,0,0,0.99904823"
,levelfunticontestlevel,,SwitchRegionTrigger12,MHPlayerSpawnPoint3,"898.52454,1166.9681,26.4121","0.043619458,0,0,0.99904823"
,levelfunticontestlevel,,SwitchRegionTrigger27,MHPlayerSpawnPoint28,"865.19873,1347.7809,26.4121","0.99254614,-0,0,-0.12186937"
,levelfunticontestlevel,,SwitchRegionTrigger16,MHPlayerSpawnPoint18,"881.94495,681.64496,26.068491","0.043619458,0,0,0.99904823"
,levelfunticontestlevel,,SwitchRegionTrigger25,MHPlayerSpawnPoint26,"874.16858,1335.8263,26.4121","0.99254614,-0,0,-0.12186937"
,levelfunticontestlevel,,SwitchRegionTrigger29,MHPlayerSpawnPoint30,"861.48138,1359.4532,26.4121","0.99254614,-0,0,-0.12186937"
,levelfunticontestlevel,,SwitchRegionTrigger26,MHPlayerSpawnPoint27,"868.60944,1341.6355,26.4121","0.99254614,-0,0,-0.12186937"
,levelfunticontestlevel,,SwitchRegionTrigger21,MHPlayerSpawnPoint23,"718.01385,436.70428,26.412098","0.37460667,0,0,0.92718381"
,levelfunticontestlevel,,SwitchRegionTrigger20,MHPlayerSpawnPoint22,"704.11365,273.38342,26.068491","0.043619458,0,0,0.99904823"
,levelfunticontestlevel,,SwitchRegionTrigger13,MHPlayerSpawnPoint15,"892.78632,1055.5636,26.068493","0.043619458,0,0,0.99904823"
,levelfunticontestlevel,,SwitchRegionTrigger28,MHPlayerSpawnPoint29,"863.61487,1353.3713,26.4121","0.99254614,-0,0,-0.12186937"
,levelfunticontestlevel,,SwitchRegionTrigger17,MHPlayerSpawnPoint19,"881.91351,548.83905,26.068491","0.043619458,0,0,0.99904823"
,levelfunticontestlevel,,SwitchRegionTrigger23,MHPlayerSpawnPoint24,"887.26379,1330.4362,26.4121","0.99254614,-0,0,-0.12186937"
,levelfunticontestlevel,,SwitchRegionTrigger24,MHPlayerSpawnPoint25,"881.573,1331.3739,26.4121","0.99254614,-0,0,-0.12186937"
1,level_001,Dawnwind Valley,RSTrigger_2to1_Tips,,"1618.8137,447.24799,72.613823","0.99691737,0,0,0.078459099"
1,level_001,Dawnwind Valley,RSTrigger_1to3,RSTrigger_1to3_Point,"1480.9088,545.14032,75.020172","0.7547096,0,0,-0.65605903"
1,level_001,Dawnwind Valley,RSTrigger_2to3_Tips,,"1566.7311,500.06711,69.318878","0.96363044,0,0,0.26723838"
1,level_001,Dawnwind Valley,RSTrigger_1to3_Tips,,"1546.1908,1574.2823,145.08705","0.96814764,0,0,0.25038001"
1,level_001,Dawnwind Valley,RSTrigger_4to2,RSTrigger_4to2_Point,"1565.0793,473.98364,69.457832","0.95881969,0,0,-0.28401542"
1,level_001,Dawnwind Valley,RSTrigger_2to4_Tips,,"1557.8729,467.9487,71.870438","0.88701081,0,0,0.46174863"
1,level_001,Dawnwind Valley,RSTrigger_2to4,RSTrigger_2to4_Point,"1499.8042,456.42413,64.057922","0.68199819,0,0,0.73135382"
1,level_001,Dawnwind Valley,RSTrigger_0to1,RSTrigger_0to1_Point,"1622.3158,1605.1857,142.78421","0.63607818,0,0,0.77162457"
1,level_001,Dawnwind Valley,RSTrigger_2to1,RSTrigger_2to1_Point,"1575.1772,1623.1897,142.76399","-0.13917302,0,0,0.99026811"
1,level_001,Dawnwind Valley,RSTrigger_3to2,RSTrigger_3to2_Point,"1569.0188,496.4064,69.253624","-0.17364804,0,0,0.98480779"
1,level_001,Dawnwind Valley,RSTrigger_1to2_Tips,,"1570.7449,1629.3276,142.89816","0.97992468,0,0,0.19936793"
1,level_001,Dawnwind Valley,RSTrigger_4to2_Tips,,"1502.7181,456.74844,70.076836","1,0,0,-9.6798544e-008"
1,level_001,Dawnwind Valley,RSTrigger_3to1,RSTrigger_3to1_Point,"1553.1938,1578.2971,143","0.84804803,-0,0,-0.52991933"
1,level_001,Dawnwind Valley,RSTrigger_3to1_Tips,,"1475.8522,543.78473,76.037682","0.96814764,0,0,0.25038001"
1,level_001,Dawnwind Valley,RSTrigger_3to4_Tips,,"1513.4917,527.32428,72.522888","0.83867055,0,0,0.54463899"
1,level_001,Dawnwind Valley,RSTrigger_4to3_Tips,,"1495.9196,497.74374,65.396187","0.91706008,0,0,0.39874914"
1,level_001,Dawnwind Valley,RSTrigger_3to2_Tips,,"1557.1392,520.49274,71.274384","0.96814764,0,0,0.25038001"
1,level_001,Dawnwind Valley,RSTrigger_1to0_Tips,,"1627.0923,1605.941,141.26508","1,0,0,0"
1,level_001,Dawnwind Valley,RSTrigger_1to0,RSTrigger_1to0_Point,"1668.3159,1586.6306,128.51051","-0.29237169,0,0,0.95630479"
1,level_001,Dawnwind Valley,RSTrigger_3to4,RSTrigger_3to4_Point,"1489.9385,492.30719,63.633183","0.35836795,0,0,0.93358046"
1,level_001,Dawnwind Valley,RSTrigger_1to2,RSTrigger_1to2_Point,"1619.6494,452.75977,70.99498","0.99813479,0,0,0.061048463"
1,level_001,Dawnwind Valley,RSTrigger_0to1_Tips,,"1665.6949,1592.2749,130.61784","0.94832367,0,0,0.31730464"
1,level_001,Dawnwind Valley,RSTrigger_2to3,RSTrigger_2to3_Point,"1555.2915,523.82959,70.21096","0.96126175,0,0,0.27563727"
1,level_001,Dawnwind Valley,RSTrigger_4to3,RSTrigger_4to3_Point,"1515.6482,531.04803,71.337494","0.95105654,0,0,-0.30901694"
2,level_002,Hermit Forest,SwitchRegionTrigger1to6_drama,,"979.53375,379.36194,127.03535","0.99813479,0,0,0.061048523"
2,level_002,Hermit Forest,SwitchRegionTrigger5toC_drama,,"335.51712,1055.83,166.10556","0.12186915,0,0,0.9925462"
2,level_002,Hermit Forest,SwitchRegionTrigger2to10_drama,,"311.98376,312.85037,360.4241","0.93041766,0,0,0.36650106"
2,level_002,Hermit Forest,SwitchRegionTrigger1toC,MHPlayerSpawnPoint3,"1665.2522,367.1514,204.25","-0.052335974,0,0,0.99862951"
2,level_002,Hermit Forest,SwitchRegionTrigger6to3_drama,,"1564.6366,1587.3265,145.18918","0.95881975,0,0,-0.28401539"
2,level_002,Hermit Forest,SwitchRegionTrigger5to4_drama,,"355.83426,1016.3101,160.43221","0.98325491,0,0,-0.18223552"
2,level_002,Hermit Forest,SwitchRegionTrigger5to4,MHPlayerSpawnPoint11,"991.81616,1007.6465,117.5779","0.35836789,0,0,0.93358046"
2,level_002,Hermit Forest,SwitchRegionTrigger2to1,MHPlayerSpawnPoint6,"1010.3438,323.38254,127.09091","0.55919278,0,0,0.82903773"
2,level_002,Hermit Forest,SwitchRegionTrigger5toC,MHPlayerSpawnPoint5-C,"1663.4626,306.17178,205.375","0.99144483,0,0,0.13052627"
2,level_002,Hermit Forest,SwitchRegionTrigger2to3,MHPlayerSpawnPoint7,"1419.4675,892.89319,320.85098","0.87881714,0,0,-0.47715876"
2,level_002,Hermit Forest,SwitchRegionTrigger6to3,MHPlayerSpawnPoint16,"1409.6608,953.66937,321.33481","-0.32556808,0,0,0.94551861"
2,level_002,Hermit Forest,SwitchRegionTrigger3to2_drama,,"1412.212,887.76825,333.17868","0.89493436,0,0,-0.44619784"
2,level_002,Hermit Forest,SwitchRegionTrigger3to6,MHPlayerSpawnPoint15,"1578.2771,1610.1555,142.73795","0.96814764,0,0,-0.25038001"
2,level_002,Hermit Forest,SwitchRegionTrigger4to5_drama,,"1000.8732,1014.012,119.92386","0.91354543,0,0,-0.40673667"
2,level_002,Hermit Forest,SwitchRegionTrigger6to2,MHPlayerSpawnPoint18,"982.5401,365.91705,124.625","-0.043619413,0,0,0.99904823"
2,level_002,Hermit Forest,SwitchRegionTrigger5to3,MHPlayerSpawnPoint17,"1461.8577,834.8266,320.75","1,0,0,0"
2,level_002,Hermit Forest,SwitchRegionTrigger1to6,MHPlayerSpawnPoint14,"1602.8939,1664.4445,142.5","-4.3711388e-008,0,0,1"
2,level_002,Hermit Forest,SwitchRegionTrigger4to5,MHPlayerSpawnPoint12,"341.93213,1020.4387,156","0.74314481,0,0,0.66913062"
2,level_002,Hermit Forest,SwitchRegionTriggerCto5_drama,,"1664.7582,298.25598,206.79256","0.99691737,0,0,0.078459091"
2,level_002,Hermit Forest,SwitchRegionTrigger1to2_drama,,"1020.6345,328.05673,129.63736","0.95371693,0,0,0.30070594"
2,level_002,Hermit Forest,SwitchRegionTrigger3to2,MHPlayerSpawnPoint8,"313.99857,232.07149,358.00623","0.48480961,0,0,0.87461972"
2,level_002,Hermit Forest,SwitchRegionTrigger2to3_drama,,"322.08282,236.504,356.26169","0.79335332,0,0,-0.60876143"
2,level_002,Hermit Forest,SwitchRegionTrigger5to3_drama,,"328.99945,967.49335,154.99559","0.88701081,0,0,-0.46174863"
2,level_002,Hermit Forest,SwitchRegionTrigger2to4,MHPlayerSpawnPoint9,"999.46265,974.2677,117.81969","0.84804809,0,0,0.52991927"
2,level_002,Hermit Forest,SwitchRegionTrigger3to6_drama,,"1404.0968,963.44446,324.9267","0.97029573,0,0,0.24192187"
2,level_002,Hermit Forest,SwitchRegionTrigger6to2_drama,MHPlayerSpawnPoint18,"982.5401,365.91705,124.625","-0.043619413,0,0,0.99904823"
