# 总表ID,物品名称,说明,物品等级,稀有度,图标ID,离开副本是否保留,材质,RANK,物品主类,物品中类,物品子类,绑定类型,拥有上限,携带上限,堆叠上限,农场精算点数,可否摧毁,购买价格,出售价格,是否商城道具,可否分解,物品过期时间,物品过期Tag,模型资源(男),模型资源(女),角色等级需求,种族需求,星级职业需求,星级等级需求,需求技能1ID,需求技能1等级MIN,需求技能1等级MAX,需求技能2ID,需求技能2等级MIN,需求技能2等级MAX,猎团等级需求,宠物等级需求,性别需求,可否升级Rank,Rank升级规则,可否升级等级,等级升级规则,可否升级,可否强化,可强化等级,可突破等级,突破所需强化等级,近远程类型,武器长度,初始孔数,最大孔数,攻击力,防御力,会心等级,最大斩味值,红色斩味数值,橙色斩味数值,黄色斩味数值,绿色斩味数值,蓝色斩味数值,白色斩味数值,紫色斩味数值,铜色斩味数值,银色斩味数值,金色斩味数值,耐久度,附加生命,水属性攻击力,火属性攻击力,雷属性攻击力,龙属性攻击力,冰属性攻击力,毒附加,眠附加,麻附加,爆破附加,水抗性,火抗性,雷抗性,龙抗性,冰抗性,力量,爆发,运气,体力,附加属性基因1ID,附加属性基因2ID,附加属性基因3ID,附加属性基因4ID,附加属性基因5ID,附加属性基因6ID,装备被动技1ID,值1,装备被动技2ID,值2,装备被动技3ID,值3,装备被动技4ID,值4,装备被动技5ID,值5,装备被动技6ID,值6,可否被偷窃,随机被动技大组,觉醒索引编号,觉醒等级1,觉醒等级2,觉醒等级3,突破特效1,突破特效2,突破特效3,强化规则,强化特效1,强化特效2,强化特效3,排序参数,炮击类型,炮击等级,最大弹数,染色规则,商城索引ID,是否投放,高跟鞋,套装ID,是否被幻化,是否幻化,幻化消耗,淬炼规则,淬炼等级上限,是否允许退火,升级消耗规则,等级提升上限,粘合剂id,粘合剂数量,是否为残兵,解绑道具,解绑道具数量,护石熔炼规则,直升规则集,攻击力成长,防御力成长,附加生命成长,水属性攻击力成长,火属性攻击力成长,雷属性攻击力成长,龙属性攻击力成长,冰属性攻击力成长,水抗性成长,火抗性成长,雷抗性成长,龙抗性成长,冰抗性成长,力量成长,爆发成长,运气成长,体力成长,毒附加成长,眠附加成长,麻附加成长,爆破附加成长
180010,扩散铳枪LV3测试,测试用铳枪，扩散型。,1,1,ep_lslw_06,1,1,1,2,1,9,2,0,0,1,0,0,0,50,0,0,0,,390001,390001,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,30,30,1,0,0,0,0,50,0,0,2000000,500000,1000000,2000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,,,,,3,3,2,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180011,通常铳枪LV4测试,测试用铳枪，通常型。,1,1,ep_lslw_06,1,1,1,2,1,9,2,0,0,1,0,0,0,50,0,0,0,,390001,390001,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,30,30,1,0,0,0,0,50,0,0,2000000,500000,1000000,2000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,,,,,1,4,5,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180012,放射铳枪LV4测试,测试用铳枪，放射型。,1,1,ep_lslw_06,1,1,1,2,1,9,2,0,0,1,0,0,0,50,0,0,0,,390001,390001,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,30,30,1,0,0,0,0,50,0,0,2000000,500000,1000000,2000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,,,,,2,4,3,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180013,扩散铳枪LV4测试,测试用铳枪，扩散型。,1,1,ep_lslw_06,1,1,1,2,1,9,2,0,0,1,0,0,0,50,0,0,0,,390001,390001,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,30,30,1,0,0,0,0,50,0,0,2000000,500000,1000000,2000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,,,,,3,4,2,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180014,正常炮击测试,黄斩铳枪，可正常炮击。,1,1,ep_lslw_06,1,1,1,2,1,9,2,0,0,1,0,0,0,50,0,0,0,,390001,390001,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,30,30,1,0,0,0,0,50,0,0,2000000,500000,1000000,2000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,,,,,1,4,5,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180015,削弱炮击测试,橙黄斩铳枪，使用削弱炮击。,1,1,ep_lslw_06,1,1,1,2,1,9,2,0,0,1,0,0,0,50,0,0,0,,390001,390001,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,30,30,1,0,0,0,0,50,0,0,1000000,500000,1000000,2000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,,,,,1,3,5,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180016,无法炮击测试,红斩铳枪，无法使用炮击。,1,1,ep_lslw_06,1,1,1,2,1,9,2,0,0,1,0,0,0,50,0,0,0,,390001,390001,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,30,30,1,0,0,0,0,50,0,0,500000,500000,1000000,2000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,,,,,1,2,5,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180017,低黄斩铳枪-炮击测试,低黄斩的铳枪，非常容易磨损到橙黄色斩味,1,1,ep_lslw_06,1,1,1,2,1,9,2,0,0,1,0,0,0,50,0,0,0,,390001,390001,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,30,30,1,0,0,0,0,50,0,0,1010000,500000,1000000,2000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,,,,,1,1,5,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180018,低橙斩铳枪-炮击测试,低橙斩的铳枪，非常容易磨损到红色斩味,1,1,ep_lslw_06,1,1,1,2,1,9,2,0,0,1,0,0,0,50,0,0,0,,390001,390001,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,30,30,1,0,0,0,0,50,0,0,510000,500000,1000000,2000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,,,,,1,1,5,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180019,测试属性铳枪,测试属性铳枪,1,1,ep_lslw_06,1,1,1,2,1,9,2,0,0,1,0,0,0,50,0,0,0,,390001,390001,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,30,30,1,0,0,0,0,50,0,0,2000000,500000,1000000,2000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,300,0,10,10,10,10,10,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,,,,,1,1,5,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180020,会心毒眠麻肉质铳枪,会心毒眠麻肉质铳枪,1,1,ep_lslw_06,1,1,1,2,1,9,2,0,0,1,0,0,0,50,0,0,0,,390001,390001,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,30,30,1,0,0,0,0,50,0,50,2000000,500000,1000000,2000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,300,0,10,10,10,10,10,55,55,55,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,,,,,1,1,5,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180021,樱角加农,使用桃毛兽素材制作的粉色铳枪，毛绒的外形之下，火力有显著的提升。,20,1,ep_tmsw_13,0,1,1,2,1,9,2,0,0,1,0,0,34000,340,0,0,0,,390008,390008,20,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,10,0,99,0,0,0,0,87,0,0,2000000,520000,960000,1400000,2080000,2870000,2980000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,1,2,3,,,,1,,,,,3,2,2,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180022,足轻阵列,使用镰蟹素材制作的铳枪，锋利的镰铗不但能够造成伤害，而且可以抵挡枪焰的反噬。,35,1,ep_lx_13,0,1,1,2,1,9,2,0,0,1,0,0,161000,1610,0,0,0,,390015,390015,20,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,10,0,99,0,0,0,0,93,0,0,2500000,1100000,1680000,1800000,2000000,2810000,3640000,4000000,4000000,4000000,4000000,300,0,24,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,7,11,12,13,,,,1,,,,,1,2,5,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180023,光明巨擘,象征光明力的王者之兵，以整个黑暗面为敌的铳枪，需要极强大的勇气才能使用。,40,2,ep_nb3_13,0,1,1,2,1,9,2,0,0,1,0,0,300000,3000,0,0,0,,390013,390013,20,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,15,0,99,0,0,0,0,128,0,0,2500000,580000,1040000,1200000,2000000,2930000,3270000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,1,2,3,,,,1,,,,,1,3,5,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180024,血色发电机,使用红电龙素材制作的铳枪，瞬间迸发的超强电流除能狠狠击倒猎物之余，还能给烤肉架通电加热。,55,3,ep_hdl_13,0,1,1,2,1,9,2,0,0,1,0,0,600000,6000,0,0,0,,390206,390206,20,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,15,0,99,0,0,0,0,132,0,10,3000000,1340000,1420000,1820000,2050000,2450000,3110000,4000000,4000000,4000000,4000000,300,0,0,0,37,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,31,32,33,,,,1,,,,,2,3,3,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180025,潜海奇袭,使用沙龙王素材制作的铳枪，工匠充分考虑了素材的特性，隐蔽特征得到前所未有的提升。,15,1,ep_slw_13,0,1,1,2,1,9,2,0,0,1,0,0,21000,210,0,0,0,,390011,390011,20,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,10,0,99,0,0,0,0,80,0,-7,1500000,630000,1050000,1700000,2700000,3130000,3680000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,1,2,3,,,,1,,,,,1,1,5,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180026,钢铁铳枪,工坊精炼矿石制作的金属铳枪，需要经常擦拭才能保证不出现锈蚀的痕迹。,1,1,ep_unem001_u,1,1,1,2,1,9,2,0,0,1,0,0,0,0,0,0,0,,390602,390602,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,10,0,99,0,0,0,10,90,0,0,1500000,630000,1050000,1200000,2300000,2440000,3080000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,2,3,,,,1,,,,,1,2,5,,,Y,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180027,竞技者铳枪,只有参与生死竞技的勇敢者才能使用的铳枪。,90,1,ep_pvp002_u01_u,0,1,1,2,1,9,2,0,0,1,0,0,0,0,0,0,0,,390405,390405,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,15,0,99,0,0,0,10,500,0,0,3000000,1340000,1870000,2020000,2300000,2500000,3200000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,1,2,3,,,,1,,,,,1,4,5,,,Y,,,1,1,1,,,,1269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180028,训练用铳枪,"""<FONT COLOR=\""\""\#C6B262\""\"">训练专用，离开训练场后将归还猎人工会</FONT>""",1,1,ep_lslw_06,0,1,1,2,1,9,2,0,0,1,0,0,0,50,0,0,0,,390200,390200,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,30,30,1,0,0,0,0,50,0,0,2000000,500000,1000000,2000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,,,,,1,1,6,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188001,冒险者铳枪,商团为冒险者们统一配备的铳枪。,40,1,ep_xf_13,0,1,1,2,1,9,2,0,0,1,0,0,0,0,0,0,0,,390200,390200,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,10,0,99,0,0,0,10,150,0,0,2500000,810000,870000,1450000,2300000,2820000,3610000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,3,,,,2,,,,,1,2,5,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188002,怪鸟射线,使用大怪鸟素材制作的铳枪，轻便灵巧的火属性特点，是初阶猎人的优选武器。,40,1,ep_qgn_13,0,1,1,2,1,9,0,0,0,1,0,0,0,0,0,0,0,,390017,390017,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,10,0,99,0,0,0,10,160,0,0,2800000,630000,1020000,1820000,2520000,3070000,3300000,3890000,4000000,4000000,4000000,300,0,0,34,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,21,22,23,,,,2,,,,,2,3,3,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188003,怪鸟射线,使用大怪鸟素材制作的铳枪，轻便灵巧的火属性特点，是初阶猎人的优选武器。,40,1,ep_qgn_13,0,1,1,2,1,9,0,0,0,1,0,0,0,0,0,0,0,,390017,390017,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,10,0,99,0,0,0,10,160,0,0,2900000,960000,1550000,2300000,2700000,3560000,3660000,3860000,4000000,4000000,4000000,300,0,0,34,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,21,22,23,,,,2,,,,,1,3,5,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188004,怪鸟射线,使用大怪鸟素材制作的铳枪，轻便灵巧的火属性特点，是初阶猎人的优选武器。,40,1,ep_qgn_13,0,1,1,2,1,9,0,0,0,1,0,0,0,0,0,0,0,,390017,390017,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,10,0,99,0,0,0,10,160,0,0,2900000,390000,910000,1490000,2450000,3040000,3400000,3910000,4000000,4000000,4000000,300,0,0,34,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,21,22,23,,,,2,,,,,2,2,3,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188005,怪鸟射线,使用大怪鸟素材制作的铳枪，轻便灵巧的火属性特点，是初阶猎人的优选武器。,40,1,ep_qgn_13,0,1,1,2,1,9,0,0,0,1,0,0,0,0,0,0,0,,390017,390017,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,10,0,99,0,0,0,10,160,0,-5,2800000,880000,1210000,2010000,2340000,2770000,3390000,3520000,4000000,4000000,4000000,300,0,0,34,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,21,22,23,,,,2,,,,,1,2,5,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
