# 总表ID,物品名称,说明,物品等级,稀有度,图标ID,离开副本是否保留,材质,RANK,物品主类,物品中类,物品子类,绑定类型,拥有上限,携带上限,堆叠上限,农场精算点数,可否摧毁,购买价格,出售价格,是否商城道具,可否分解,物品过期时间,物品过期Tag,模型资源(男),模型资源(女),角色等级需求,种族需求,星级职业需求,星级等级需求,需求技能1ID,需求技能1等级MIN,需求技能1等级MAX,需求技能2ID,需求技能2等级MIN,需求技能2等级MAX,猎团等级需求,宠物等级需求,性别需求,可否升级Rank,Rank升级规则,可否升级等级,等级升级规则,可否升级,可否强化,可强化等级,可突破等级,突破所需强化等级,近远程类型,武器长度,初始孔数,最大孔数,攻击力,防御力,会心等级,最大斩味值,红色斩味数值,橙色斩味数值,黄色斩味数值,绿色斩味数值,蓝色斩味数值,白色斩味数值,紫色斩味数值,铜色斩味数值,银色斩味数值,金色斩味数值,耐久度,附加生命,水属性攻击力,火属性攻击力,雷属性攻击力,龙属性攻击力,冰属性攻击力,毒附加,眠附加,麻附加,爆破附加,水抗性,火抗性,雷抗性,龙抗性,冰抗性,力量,爆发,运气,体力,附加属性基因1ID,附加属性基因2ID,附加属性基因3ID,附加属性基因4ID,附加属性基因5ID,附加属性基因6ID,装备被动技1ID,值1,装备被动技2ID,值2,装备被动技3ID,值3,装备被动技4ID,值4,装备被动技5ID,值5,装备被动技6ID,值6,可否被偷窃,随机被动技大组,装填速度,晃动偏移,反动大小,射速,可用配件1,可用配件2,可用配件3,配件3参数,可用配件4,可用子弹1,子弹1装填数量,子弹1发射类型,子弹1后坐力,可用子弹2,子弹2装填数量,子弹2发射类型,子弹2后坐力,可用子弹3,子弹3装填数量,子弹3发射类型,子弹3后坐力,可用子弹4,子弹4装填数量,子弹4发射类型,子弹4后坐力,可用子弹5,子弹5装填数量,子弹5发射类型,子弹5后坐力,可用子弹6,子弹6装填数量,子弹6发射类型,子弹6后坐力,可用子弹7,子弹7装填数量,子弹7发射类型,子弹7后坐力,可用子弹8,子弹8装填数量,子弹8发射类型,子弹8后坐力,可用子弹9,子弹9装填数量,子弹9发射类型,子弹9后坐力,可用子弹10,子弹10装填数量,子弹10发射类型,子弹10后坐力,可用子弹11,子弹11装填数量,子弹11发射类型,子弹11后坐力,可用子弹12,子弹12装填数量,子弹12发射类型,子弹12后坐力,可用子弹13,子弹13装填数量,子弹13发射类型,子弹13后坐力,可用子弹14,子弹14装填数量,子弹14发射类型,子弹14后坐力,可用子弹15,子弹15装填数量,子弹15发射类型,子弹15后坐力,觉醒索引编号,觉醒等级1,觉醒等级2,觉醒等级3,突破特效1,突破特效2,突破特效3,强化规则,强化特效1,强化特效2,强化特效3,排序参数,染色规则,商城索引ID,是否投放,高跟鞋,套装ID,是否被幻化,是否幻化,幻化消耗,淬炼规则,淬炼等级上限,是否允许退火,升级消耗规则,等级提升上限,粘合剂id,粘合剂数量,是否为残兵,解绑道具,解绑道具数量,护石熔炼规则,直升规则集,攻击力成长,防御力成长,附加生命成长,水属性攻击力成长,火属性攻击力成长,雷属性攻击力成长,龙属性攻击力成长,冰属性攻击力成长,水抗性成长,火抗性成长,雷抗性成长,龙抗性成长,冰抗性成长,力量成长,爆发成长,运气成长,体力成长,毒附加成长,眠附加成长,麻附加成长,爆破附加成长
110501,澜壳轻弩+蓄能枪管,利用镰蟹素材打造的弩炮，具有无可匹敌的冲击力。,35,1,ep_lx_08,0,1,1,2,1,5,2,0,0,1,0,0,161000,1610,0,0,0,,350015,350015,35,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,10,0,99,1,0,0,10,116,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,116,116,116,116,116,116,116,116,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,慢,,,100,,,,,,通常弹1级,8,,小,通常弹2级,8,蓄力,中,通常弹3级,7,,小,散弹1级,5,,小,贯通弹1级,5,蓄力,中,贯通弹2级,5,,中,水冷弹,6,,小,冰结弹,6,,小,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110502,落石加农改+蓄能枪管,采用岩龙素材作为主身的重弩，一发炮击能炸开巨岩。,35,1,ep_yl_08,0,1,1,2,1,5,2,0,0,1,0,0,161000,1610,0,0,0,,350023,350023,35,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,10,0,99,1,0,0,10,119,0,-10,0,0,0,0,0,0,0,0,0,0,0,300,0,119,119,119,119,119,119,119,119,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,快,,,100,,,,,,通常弹1级,8,,小,通常弹2级,8,,小,散弹1级,5,,小,散弹2级,5,蓄力,中,贯通弹1级,5,蓄力,中,贯通弹2级,5,,中,火焰弹,6,,小,致眠弹,6,,中,麻痹弹,6,,中,,,,,,,,,,,,,,,,,,,,,,,,,7,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110503,静电巨炮改+速射枪管,使用电龙素材打造的弩炮，搭配蓄能枪管，电光火花般的射击似乎要撕碎敌人一样。,35,1,ep_dl_08,0,1,1,2,1,5,2,0,0,1,0,0,161000,1610,0,0,0,,350012,350012,35,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,10,0,99,1,0,0,10,113,0,10,0,0,0,0,0,0,0,0,0,0,0,300,0,113,113,113,113,113,113,113,113,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,快,,,100,,,,,,通常弹1级,8,,小,通常弹3级,7,,小,散弹1级,5,,小,散弹2级,5,速射2发,中,贯通弹1级,5,速射2发,中,电击弹,6,,小,冰结弹,6,,小,麻痹弹,6,,中,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110504,枷锁狙击改+速射枪管,使用眠鸟素材打造的弩炮，经过工匠精密的加工与调试，炮身搭载蓄能枪管威力非常大。,35,1,ep_mn_08,0,1,1,2,1,5,2,0,0,1,0,0,161000,1610,0,0,0,,350014,350014,35,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,10,0,99,1,0,0,10,115,0,7,0,0,0,0,0,0,0,0,0,0,0,300,0,115,115,115,115,115,115,115,115,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,快,,,100,,,,,,通常弹1级,8,,小,通常弹2级,8,速射2发,小,通常弹3级,7,,小,贯通弹1级,5,,小,贯通弹2级,5,速射2发,中,水冷弹,6,,小,致眠弹,6,,小,猛毒弹,6,,小,麻痹弹,6,,小,,,,,,,,,,,,,,,,,,,,,,,,,7,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110505,雪山之岚+蓄能枪管,使用雪狮子王素材打造的弩炮，在射击时能够发出振耳的轰鸣之声。,35,1,ep_xszw_08,0,1,1,2,1,5,2,0,0,1,0,0,161000,1610,0,0,0,,350017,350017,35,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,10,0,99,1,0,0,10,116,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,116,116,116,116,116,116,116,116,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,中,,,100,,,,,,通常弹1级,8,,小,通常弹3级,7,蓄力,中,贯通弹1级,5,,小,贯通弹2级,5,蓄力,大,彻甲榴弹1级,2,,中,冰结弹,6,,小,致眠弹,6,,中,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110506,凰晓+蓄能枪管,遥远古国的至宝弩炮，被视作珍宝的原因不仅因为那可怕的破坏力。,35,1,ep_nb3_08,0,1,1,2,1,5,2,0,0,1,0,0,161000,1610,0,0,0,,350013,350013,35,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,10,0,99,1,0,0,10,117,0,-7,0,0,0,0,0,0,0,0,0,0,0,300,0,117,117,117,117,117,117,117,117,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,快,,,100,,,,,,通常弹1级,8,,小,通常弹2级,8,蓄力,中,散弹1级,5,,中,散弹2级,5,蓄力,中,彻甲榴弹1级,2,蓄力,大,火焰弹,6,,中,电击弹,6,,中,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110507,尾槌重枪真+速射枪管,使用金毛兽王的素材加工制造的弩炮，可以搭载蓄能枪管来发挥强大的火力。,40,2,ep_jmsw_08,0,1,1,2,1,5,2,0,0,1,0,0,280000,2800,0,0,0,,350203,350203,40,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,15,0,99,1,0,0,10,128,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,128,128,128,128,128,128,128,128,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,快,,,100,,,,,,通常弹1级,8,,小,通常弹2级,8,速射2发,中,通常弹3级,7,速射2发,中,散弹1级,5,速射2发,中,散弹2级,5,,小,贯通弹1级,5,,小,贯通弹2级,5,,中,火焰弹,6,,小,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110508,澜壳轻弩真+蓄能枪管,利用镰蟹素材打造的弩炮，具有无可匹敌的冲击力。,40,2,ep_lx_08,0,1,1,2,1,5,2,0,0,1,0,0,280000,2800,0,0,0,,350015,350015,40,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,15,0,99,1,0,0,10,128,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,128,128,128,128,128,128,128,128,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,慢,,,100,,,,,,通常弹1级,8,,小,通常弹2级,8,蓄力,中,通常弹3级,7,,小,散弹1级,5,,小,贯通弹1级,5,蓄力,中,贯通弹2级,5,,中,水冷弹,6,,小,冰结弹,6,,小,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110509,迷途铳枪真+蓄能枪管,采用骇狩蛛素材打造的重弩，绚烂的色泽不仅用作装饰，也可以迷惑怪物。,40,2,ep_hsz_08,0,1,1,2,1,5,2,0,0,1,0,0,280000,2800,0,0,0,,350205,350205,40,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,15,0,99,1,0,0,10,126,0,7,0,0,0,0,0,0,0,0,0,0,0,300,0,126,126,126,126,126,126,126,126,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,慢,,,100,,,,,,通常弹1级,8,,小,通常弹2级,8,蓄力,小,通常弹3级,7,,小,散弹1级,5,蓄力,小,散弹2级,5,蓄力,小,冰结弹,6,,小,麻痹弹,6,,小,猛毒弹,6,,小,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110510,落石加农真+蓄能枪管,采用岩龙素材作为主身的重弩，一发炮击能炸开巨岩。,40,2,ep_yl_08,0,1,1,2,1,5,2,0,0,1,0,0,280000,2800,0,0,0,,350023,350023,40,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,15,0,99,1,0,0,10,135,0,-15,0,0,0,0,0,0,0,0,0,0,0,300,0,135,135,135,135,135,135,135,135,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,快,,,100,,,,,,通常弹1级,8,,小,通常弹2级,8,,小,散弹1级,5,,小,散弹2级,5,蓄力,中,贯通弹1级,5,蓄力,中,贯通弹2级,5,,中,火焰弹,6,,小,致眠弹,6,,中,麻痹弹,6,,中,,,,,,,,,,,,,,,,,,,,,,,,,8,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110511,棘轮射手真+速射枪管,利用沙雷鸟素材打造的强力弩炮，能够在超远距离对敌人造成巨大的威胁。,40,2,ep_sln_08,0,1,1,2,1,5,2,0,0,1,0,0,280000,2800,0,0,0,,350009,350009,40,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,15,0,99,1,0,0,10,128,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,128,128,128,128,128,128,128,128,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,中,,,100,,,,,,通常弹1级,8,,小,通常弹2级,8,速射2发,中,通常弹3级,7,速射2发,中,散弹1级,5,,中,散弹2级,5,速射2发,中,贯通弹1级,5,,中,火焰弹,6,,中,麻痹弹,6,,大,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110512,静电巨神炮+速射枪管,使用电龙素材打造的弩炮，搭配蓄能枪管，电光火花般的射击似乎要撕碎敌人一样。,40,2,ep_dl_08,0,1,1,2,1,5,2,0,0,1,0,0,280000,2800,0,0,0,,350012,350012,40,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,15,0,99,1,0,0,10,125,0,10,0,0,0,0,0,0,0,0,0,0,0,300,0,125,125,125,125,125,125,125,125,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,快,,,100,,,,,,通常弹1级,8,,小,通常弹3级,7,,小,散弹1级,5,,小,散弹2级,5,速射2发,中,贯通弹1级,5,速射2发,中,电击弹,6,,小,冰结弹,6,,小,麻痹弹,6,,中,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110513,枷锁狙击真+速射枪管,使用眠鸟素材打造的弩炮，经过工匠精密的加工与调试，炮身搭载蓄能枪管威力非常大。,40,2,ep_mn_08,0,1,1,2,1,5,2,0,0,1,0,0,280000,2800,0,0,0,,350014,350014,40,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,15,0,99,1,0,0,10,126,0,7,0,0,0,0,0,0,0,0,0,0,0,300,0,126,126,126,126,126,126,126,126,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,快,,,100,,,,,,通常弹1级,8,,小,通常弹2级,8,速射2发,小,通常弹3级,7,,小,贯通弹1级,5,,小,贯通弹2级,5,速射2发,中,水冷弹,6,,小,致眠弹,6,,小,猛毒弹,6,,小,麻痹弹,6,,小,,,,,,,,,,,,,,,,,,,,,,,,,8,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
