# 总表ID,物品名称,说明,物品等级,稀有度,图标ID,离开副本是否保留,RANK,物品主类,物品中类,物品子类,绑定类型,拥有上限,携带上限,堆叠上限,农场精算点数,可否摧毁,购买价格,出售价格,是否商城道具,可否分解,物品过期时间,物品过期Tag,模型资源(男),模型资源(女),角色等级需求,种族需求,星级职业需求,星级等级需求,需求技能1ID,需求技能1等级MIN,需求技能1等级MAX,需求技能2ID,需求技能2等级MIN,需求技能2等级MAX,猎团等级需求,宠物等级需求,性别需求,需求地区ID,需求LevelMode,需求关卡ID,物品使用次数,CD时间,共享CD组,副本中使用次数,CD下线是否保留,使用目标,动作技能,物品使用功能1名称,物品使用功能1参数1,物品使用功能1参数2,物品使用功能1参数3,物品使用功能2名称,物品使用功能2参数1,物品使用功能2参数2,物品使用功能2参数3,物品使用功能3名称,物品使用功能3参数1,物品使用功能3参数2,物品使用功能3参数3,物品使用功能4名称,物品使用功能4参数1,物品使用功能4参数2,物品使用功能4参数3,可否被偷窃,共享携带上限组ID,物品伤害信息,排序参数,商城索引ID,素材分类_1,素材价值_1,素材分类_2,素材价值_2,素材分类_3,素材价值_3,素材分类_4,素材价值_4,素材分类_5,素材价值_5,素材分类_6,素材价值_6,素材分类_7,素材价值_7,素材分类_8,素材价值_8,素材分类_9,素材价值_9,素材分类_10,素材价值_10,随机狩猎奖励点,解绑道具,解绑道具数量
11,Dash Juice,"""<FONT COLOR=\""\#68A16A\"" >Consumable：Allows you to dash without becoming fatigued and increases max stamina for a period of time</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source: Combination, Shop</FONT><BR>""",1,1,item_icon_11,1,0,1,1,1,0,0,20,999,0,0,200,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,1,0,0,,0,0,200100005,增加耐力上限2,25,0,0,获得BUFF,13003,0,0,移除BUFF,19129,0,0,恢复耐力,150,0,0,1,11,,4,,,,,,,,,,,,,,,,,,,,,,,,
12,Lifepowder,"""<FONT COLOR=\""\#68A16A\"" >Consumable：Healing, shared with all hunters in a certain area</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source: Combination</FONT><BR>""",1,1,item_icon_58,1,0,1,1,1,2,0,10,999,0,0,180,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,1,0,0,,0,0,200100003,区域范围内恢复友方生命,0,0,30,道具使用统计,生命粉尘,8,0,0,0,0,0,0,0,0,0,1,12,,6,,,,,,,,,,,,,,,,,,,,,,,,
13,Psychoserum,"""<FONT COLOR=\""\#68A16A\"" >Usage：Temporarily sense large monsters.</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source: Combination</FONT><BR>""",1,1,item_icon_13,1,0,1,1,1,0,0,20,999,0,0,100,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,1,0,0,,0,0,200100006,获得BUFF,13004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,,4,,,,,,,,,,,,,,,,,,,,,,,,
14,Rare Steak,"""<FONT COLOR=\""\#68A16A\"" >Consumable: Increases max stamina by 25 points</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source: Cooking</FONT><BR><BR><FONT COLOR=\""\#C6B262\"" >This one's stillredin the middle.</FONT>""",1,1,item_icon_14,1,0,1,1,1,0,0,20,999,0,0,20,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,1,0,0,,0,0,200100020,增加耐力上限,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,,2,,,,,,,,,,,,,,,,,,,,,,,,
15,Well-Done Steak,"""<FONT COLOR=\""\#68A16A\"" >Consumable: Increases max stamina by 50 points</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source: Cooking</FONT><BR><BR><FONT COLOR=\""\#C6B262\"" >Meat done right.</FONT>""",1,1,item_icon_15,1,0,1,1,2,0,0,20,999,0,0,50,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,1,0,0,,0,0,200100012,增加耐力上限,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,,2,,,,,,,,,,,,,,,,,,,,,,,,
16,Burnt Meat,"""<FONT COLOR=\""\#68A16A\"" >Consumable: Increases or decreases max stamina by 25 points</FONT><BR><BR><FONT COLOR=\""\#C6B262\"" >Meat that has been burnt to a crisp.</FONT>""",1,1,item_icon_16,1,0,1,1,1,0,0,20,999,0,0,20,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,1,0,0,,0,0,200100014,一定概率增加或减少耐力上限,50,25,9,0,0,0,0,0,0,0,0,0,0,0,0,1,16,,2,,,,,,,,,,,,,,,,,,,,,,,,
17,Chilled Meat,"""<FONT COLOR=\""\#68A16A\"" >Consumable: Meat that cools the body, wards off heat. Increases max stamina by 25 points</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source: Combination</FONT><BR>""",1,1,item_icon_17,1,0,1,1,1,0,0,20,999,0,0,100,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,1,0,0,,0,0,200100018,增加耐力上限,25,0,0,获得BUFF,13002,0,0,0,0,0,0,0,0,0,0,1,17,,2,,,,,,,,,,,,,,,,,,,,,,,,
18,Hot Meat,"""<FONT COLOR=\""\#68A16A\"" >Consumable: Meat that warms the body, wards off cold. Increases max stamina by 25 points</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source: Combination</FONT><BR>""",1,1,item_icon_18,1,0,1,1,1,0,0,20,999,0,0,100,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,1,0,0,,0,0,200100002,增加耐力上限,25,0,0,获得BUFF,13001,0,0,0,0,0,0,0,0,0,0,1,18,,2,,,,,,,,,,,,,,,,,,,,,,,,
19,Rare Fish,"""<FONT COLOR=\""\#68A16A\"" >Consumable: Recovers red portion of Health</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source: Cooking</FONT><BR>""",1,1,item_icon_19,1,0,1,1,1,0,0,20,999,0,0,20,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,1,0,0,,0,0,200100019,回复绿血,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,,6,,,,,,,,,,,,,,,,,,,,,,,,
20,Well-Done Fish,"""<FONT COLOR=\""\#68A16A\"" >Consumable: Recovers red portion of Health, Increase HP recovery rate</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source: Cooking</FONT><BR>""",1,1,item_icon_20,1,0,1,1,1,0,0,20,999,0,0,50,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,1,0,0,,0,0,200100011,回复绿血,9999,0,0,获得BUFF,13005,0,0,0,0,0,0,0,0,0,0,1,20,,6,,,,,,,,,,,,,,,,,,,,,,,,
21,Burnt Fish,"""<FONT COLOR=\""\#68A16A\"" >Consumable: Recovers or loses red portion of Health</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source: Cooking</FONT><BR>""",1,1,item_icon_21,1,0,1,1,1,0,0,20,999,0,0,20,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,1,0,0,,0,0,200100013,一定概率回复绿血或扣光红血,50,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,1,21,,6,,,,,,,,,,,,,,,,,,,,,,,,
22,Poisoned Meat,"""<FONT COLOR=\""\#68A16A\"" >Usage：Places on ground as a bait, chance to poison monsters when consumed</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source: Combination</FONT><BR>""",1,1,item_icon_22,1,0,1,1,3,0,0,10,999,0,0,100,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,1,0,0,,0,0,200100017,生成场景物件,Fresh.PoisonedFresh,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,,2,,,,,,,,,,,,,,,,,,,,,,,,
23,Drugged Meat,"""<FONT COLOR=\""\#68A16A\"" >Usage：Places on ground as a bait, chance to put monsters to sleep when consumed</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source: Combination</FONT><BR>""",1,1,item_icon_23,1,0,1,1,3,0,0,10,999,0,0,100,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,1,0,0,,0,0,200100008,生成场景物件,Fresh.SleepyFresh,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,,2,,,,,,,,,,,,,,,,,,,,,,,,
24,Tinged Meat,"""<FONT COLOR=\""\#68A16A\"" >Usage：Places on ground as a bait, chance to paralyze monsters when consumed</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source: Combination</FONT><BR>""",1,1,item_icon_24,1,0,1,1,3,0,0,10,999,0,0,100,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,1,0,0,,0,0,200100009,生成场景物件,Fresh.ParalysisFresh,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,,2,,,,,,,,,,,,,,,,,,,,,,,,
25,Paintball,"""<FONT COLOR=\""\#68A16A\"" >Throw：Toss this scented paint at a monster to mark it, allowing you to track its position</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source: Combination,Shop</FONT><BR>""",1,1,item_icon_25,1,0,1,1,5,0,0,10,999,0,0,200,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,1,0,0,,0,0,200200004,0,0,0,0,道具使用统计,染色玉,4,0,0,0,0,0,0,0,0,0,1,25,,3,,,,,,,,,,,,,,,,,,,,,,,,
26,Smoke Bomb,"""<FONT COLOR=\""\#68A16A\"" >Throw：Throw on ground to create smoke, allows to be undetected by monsters</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source: Combination</FONT><BR>""",1,1,item_icon_81,1,0,1,1,5,0,0,10,999,0,0,100,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,1,0,0,,0,0,200800001,生成BuffArea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,,3,,,,,,,,,,,,,,,,,,,,,,,,
27,Deodorant,"""<FONT COLOR=\""\#68A16A\"" >Throw：Throw on ground to create a dedorizing smoke, removes the ""stench"" status</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source: Combination</FONT><BR>""",1,1,item_icon_80,1,0,1,1,5,0,0,10,999,0,0,100,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,1,0,0,,0,0,200800002,生成场景物件,BuffArea.ClearStinkJade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,,3,,,,,,,,,,,,,,,,,,,,,,,,
28,Poison Smoke Bomb,"""<FONT COLOR=\""\#68A16A\"" >Throw：Throw on ground to create a toxic smoke, to damage and poison monsters</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source: Combination</FONT><BR><BR><FONTCOLOR=\""\#C6B262\"" >Also popular as a household bug bomb.</FONT>""",1,1,item_icon_82,1,0,1,1,5,0,0,10,999,0,0,100,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,1,0,0,,0,0,200200009,生成场景物件,BuffArea.poisonSmoke,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,,3,,,,,,,,,,,,,,,,,,,,,,,,
29,Farcaster,"""<FONT COLOR=\""\#68A16A\"" >Throw：Throw on ground, instantly transports you back to base camp</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source: Combination</FONT><BR>""",1,1,item_icon_83,1,0,1,1,5,0,0,10,999,0,0,200,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,1,0,0,,0,0,200800003,传送回营地,0,0,0,0,0,0,0,指定关卡中不可使用,140801.140802.140803.140804.140805.140806.140807.140808.140809.140810,0,0,0,0,0,0,1,29,,3,,,,,,,,,,,,,,,,,,,,,,,,
30,Tranq Bomb,"""<FONT COLOR=\""\#68A16A\"" >Throw：Throw the Tranq Bomb at the monster，used to capture trapped large monsters，need to throw at least 2</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source: Combination</FONT><BR>""",1,1,item_icon_30,1,0,1,1,5,0,0,10,999,0,0,100,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,1,0,0,,0,0,200200011,0,0,0,0,道具使用统计,捕获玉,4,0,指定关卡中不可使用,140302,0,0,0,0,0,0,1,30,,3,,,,,,,,,,,,,,,,,,,,,,,,
31,Pitfall Trap,"""<FONT COLOR=\""\#68A16A\"" >Usage：Place on ground, monsters will be trapped in it temporarily</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source: Combination</FONT><BR><BR><FONT COLOR=\""\#C6B262\"" >Note：Doesn't work on certain large monsters</FONT>""",1,1,item_icon_31,1,0,1,1,6,2,0,1,999,0,0,250,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,1,0,0,,0,0,200300003,生成场景物件,MHTrap.DropTrap,0.7,1,道具使用统计,落穴陷阱,8,0,0,0,0,0,0,0,0,0,1,31,,5,,,,,,,,,,,,,,,,,,,,,,,,
32,Boomerang,"""<FONT COLOR=\""\#68A16A\"" >Throw：An unusually-shaped weapon that returns to its user when thrown, damages monsters</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source: Combination</FONT><BR><BR><FONT COLOR=\""\#C6B262\"" >DISCARD</FONT>""",1,1,item_icon_32,1,0,1,1,5,0,0,10,999,0,0,60,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,1,0,0,,0,0,200200008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,,7,,,,,,,,,,,,,,,,,,,,,,,,
33,Throwing Knife,"""<FONT COLOR=\""\#68A16A\"" >Throw：A standard throwing knife, damages monsters</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source: Combination</FONT><BR>""",1,1,item_icon_33,1,0,1,1,5,0,0,5,999,0,0,120,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,1,0,0,,0,0,200200002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33,,7,,,,,,,,,,,,,,,,,,,,,,,,
34,Poison Thrw Knife,"""<FONT COLOR=\""\#68A16A\"" >Throw：A standard throwing knife, damages monters and has a chance to inflict ""poison"" status</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source: Combination</FONT><BR>""",1,1,item_icon_34,1,0,1,1,5,0,0,5,999,0,0,200,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,1,0,0,,0,0,200200010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34,,7,,,,,,,,,,,,,,,,,,,,,,,,
35,Sleep Thrw Knife,"""<FONT COLOR=\""\#68A16A\"" >Throw：A standard throwing knife, damages monters and has a chance to inflict ""sleep"" status</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source: Combination</FONT><BR>""",1,1,item_icon_35,1,0,1,1,5,0,0,5,999,0,0,200,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,1,0,0,,0,0,200200006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,,7,,,,,,,,,,,,,,,,,,,,,,,,
36,Para. Thrw Knife,"""<FONT COLOR=\""\#68A16A\"" >Throw：A standard throwing knife, damages monters and has a chance to inflict ""paralysis"" status</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source: Combination</FONT><BR>""",1,1,item_icon_36,1,0,1,1,5,0,0,5,999,0,0,200,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,1,0,0,,0,0,200200007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36,,7,,,,,,,,,,,,,,,,,,,,,,,,
37,Barrel Bomb S,"""<FONT COLOR=\""\#68A16A\"" >Usage：A small time bomb, deals damage to monsters</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source: Combination</FONT><BR>""",1,1,item_icon_37,1,0,1,1,11,0,0,10,999,0,0,150,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,1,0,0,,0,0,200300001,生成场景物件,Bomb.SmallBucketBomb,0.7,0,道具使用统计,爆桶,4,0,0,0,0,0,0,0,0,0,1,37,,7,,,,,,,,,,,,,,,,,,,,,,,,
38,Barrel Bomb L,"""<FONT COLOR=\""\#68A16A\"" >Usage：A large time bomb, deals damage to monsters</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source: Combination</FONT><BR>""",40,1,item_icon_38,1,0,1,1,11,0,0,3,999,0,0,300,1,0,0,0,,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,1,0,0,,0,0,200300005,生成场景物件,Bomb.BigBucketBomb,0.7,0,道具使用统计,大爆桶,8,0,0,0,0,0,0,0,0,0,1,38,,7,,,,,,,,,,,,,,,,,,,,,,,,
39,Bounce Bomb,"""<FONT COLOR=\""\#68A16A\"" >Usage：A time bomb that flies upwards, deals damage to monters</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source: Combination</FONT><BR>""",1,1,item_icon_39,1,0,1,1,11,0,0,20,999,0,0,250,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,1,0,0,,0,0,200300004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39,FlyBarrel,7,,,,,,,,,,,,,,,,,,,,,,,,
40,Felvine Bomb,"""<FONT COLOR=\""\#68A16A\"" >Usage：A bomb that emits a scent Palicos love, attracts Palicos to attack</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source: Combination</FONT><BR>""",1,1,item_icon_40,1,0,1,1,11,0,0,20,999,0,0,1,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,1,0,0,,0,0,200200005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,,7,,,,,,,,,,,,,,,,,,,,,,,,
41,Flute,"""<FONT COLOR=\""\#68A16A\"" >Usage: Use this to gain attention of monsters</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source: Combination</FONT><BR>""",1,1,item_icon_41,1,0,1,1,3,0,0,20,999,0,0,40,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,1,0,0,,0,0,200900002,圆形范围内增加怪物仇恨值,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41,,7,,,,,,,,,,,,,,,,,,,,,,,,
42,Health Flute,"""<FONT COLOR=\""\#68A16A\"" >Usage: Use this to recover nearby hunters 20 points of HP</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source: Combination</FONT><BR>""",1,1,item_icon_42,1,0,1,1,3,0,0,20,999,0,0,200,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,1,0,0,,0,0,200900003,区域范围内恢复友方生命,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,,7,,,,,,,,,,,,,,,,,,,,,,,,
43,Antidote Flute,"""<FONT COLOR=\""\#68A16A\"" >Usage: Use this to remove ""poison"" status from nearby hunters</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source: Combination</FONT><BR>""",1,1,item_icon_43,1,0,1,1,3,0,0,20,999,0,0,200,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,1,0,0,,0,0,200900001,区域范围内解除友方某类buff,毒,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,43,,7,,,,,,,,,,,,,,,,,,,,,,,,
44,Portable BBQ Spit,"""<FONT COLOR=\""\#68A16A\"" >Usage: Just what you need to cook meat, needs meat or fish</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source: Shop</FONT><BR><BR><FONT COLOR=\""\#C6B262\"" >All hunters know how to cook!</FONT>""",1,1,item_icon_44,1,0,1,1,3,0,0,0,999,0,0,150,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,,0,0,200700001,检查烧烤素材是否存在,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,,,,,,,,,,,,,,,,,,,,,,,,,,
