# 总表ID,物品名称,说明,物品等级,稀有度,图标ID,离开副本是否保留,材质,RANK,物品主类,物品中类,物品子类,绑定类型,拥有上限,携带上限,堆叠上限,农场精算点数,可否摧毁,购买价格,出售价格,是否商城道具,可否分解,物品过期时间,物品过期Tag,模型资源(男),模型资源(女),角色等级需求,种族需求,星级职业需求,星级等级需求,需求技能1ID,需求技能1等级MIN,需求技能1等级MAX,需求技能2ID,需求技能2等级MIN,需求技能2等级MAX,猎团等级需求,宠物等级需求,性别需求,可否升级Rank,Rank升级规则,可否升级等级,等级升级规则,可否升级,可否强化,可强化等级,可突破等级,突破所需强化等级,近远程类型,武器长度,初始孔数,最大孔数,攻击力,防御力,会心等级,最大斩味值,红色斩味数值,橙色斩味数值,黄色斩味数值,绿色斩味数值,蓝色斩味数值,白色斩味数值,紫色斩味数值,铜色斩味数值,银色斩味数值,金色斩味数值,耐久度,附加生命,水属性攻击力,火属性攻击力,雷属性攻击力,龙属性攻击力,冰属性攻击力,毒附加,眠附加,麻附加,爆破附加,水抗性,火抗性,雷抗性,龙抗性,冰抗性,力量,爆发,运气,体力,附加属性基因1ID,附加属性基因2ID,附加属性基因3ID,附加属性基因4ID,附加属性基因5ID,附加属性基因6ID,装备被动技1ID,值1,装备被动技2ID,值2,装备被动技3ID,值3,装备被动技4ID,值4,装备被动技5ID,值5,装备被动技6ID,值6,可否被偷窃,随机被动技大组,排序参数,强化规则,染色规则,商城索引ID,是否投放,高跟鞋,套装ID,是否被幻化,是否幻化,幻化消耗,淬炼规则,淬炼等级上限,是否允许退火,升级消耗规则,等级提升上限,粘合剂id,粘合剂数量,是否为残兵,解绑道具,解绑道具数量,护石熔炼规则,直升规则集,攻击力成长,防御力成长,附加生命成长,水属性攻击力成长,火属性攻击力成长,雷属性攻击力成长,龙属性攻击力成长,冰属性攻击力成长,水抗性成长,火抗性成长,雷抗性成长,龙抗性成长,冰抗性成长,力量成长,爆发成长,运气成长,体力成长,毒附加成长,眠附加成长,麻附加成长,爆破附加成长
80012,Raw Necklace·XI,"""将坚硬的脊骨烘烤弯曲，嵌入金属项圈，佩戴起来相当具有装饰性。\n（穿戴该装备需要角色等级至少50级）""",1,4,prop_gem_05,1,0,4,2,3,2,2,0,0,1,0,1,5000,50,0,0,0,,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,0,,,,2,0,0,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Y,,,1,1,1,2,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80013,Raw Necklace·XII,"""使用更加坚硬的脊骨制成的金属项圈，工艺更加出色\n（穿戴该装备需要角色等级至少55级）""",1,4,prop_gem_05,1,0,4,2,3,2,2,0,0,1,0,1,5000,50,0,0,0,,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,0,,,,2,0,0,1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Y,,,1,1,1,2,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80014,Raw Necklace·XIII,"""由经验丰富的工匠将坚硬无比的上龙骨雕琢成的挂坠，其上自然生成的纹路十分骇人。\n（穿戴该装备需要角色等级至少120级）""",1,5,prop_gem_05,1,0,4,2,3,2,2,0,0,1,0,1,5000,50,0,0,0,,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,0,,,,2,0,0,1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Y,,,1,1,1,2,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80015,Raw Necklace·XIV,"""各种锋利的兽角串起的连珠，不知道会不会把自己刺伤。\n（穿戴该装备需要角色等级至少125级）""",1,6,prop_gem_05,1,0,4,2,3,2,2,0,0,1,0,1,5000,50,0,0,0,,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,0,,,,2,0,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Y,,,1,1,1,2,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80016,Raw Necklace·XV,"""兽角的内侧被精心打磨了，不用再担心被刺伤。\n（穿戴该装备需要角色等级至少130级）""",1,7,prop_gem_05,1,0,4,2,3,2,2,0,0,1,0,1,5000,50,0,0,0,,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,0,,,,2,0,0,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Y,,,1,1,1,2,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80017,Raw Necklace·XVI,"""简易的绳线下挂着一个巨大的龙牙，难以想象狩猎它的猎人是怎样的高手。\n（穿戴该装备需要角色等级至少135级）""",1,8,prop_gem_05,1,0,4,2,3,2,2,0,0,1,0,1,5000,50,0,0,0,,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,0,,,,2,0,0,1,48,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Y,,,1,1,1,2,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80018,Raw Necklace·XVII,"""更加巨大的龙牙，很好奇究竟是什么人在什么地方狩猎到的。\n（穿戴该装备需要角色等级至少140级）""",1,9,prop_gem_05,1,0,4,2,3,2,2,0,0,1,0,1,5000,50,0,0,0,,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,0,,,,2,0,0,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Y,,,1,1,1,2,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80019,Raw Necklace·XVIII,"""精湛的工艺，极致的选材，一看就造价不菲，是猎人们追求的极品。\n（穿戴该装备需要角色等级至少145级）""",1,10,prop_gem_05,1,0,4,2,3,2,2,0,0,1,0,1,5000,50,0,0,0,,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,0,,,,2,0,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Y,,,1,1,1,2,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80020,Raw Necklace·XIX,"""增加了识别编号的惊世项圈，限量打造，堪称极品中的极品。\n（穿戴该装备需要角色等级至少150级）""",1,11,prop_gem_05,1,0,4,2,3,2,2,0,0,1,0,1,5000,50,0,0,0,,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,0,,,,2,0,0,1,57,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Y,,,1,1,1,2,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80021,Water Necklace·I,"""同样是教官的纪念物，似乎可以用一些材料进行加工的样子，不如在工匠那试试吧。\n（穿戴该装备需要角色等级至少1级）""",1,1,prop_gem_03,1,0,1,2,3,2,2,0,0,1,0,1,5000,50,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,0,,,,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Y,,,1,1,1,2,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80022,Water Necklace·II,"""水生类的贝壳制成的项链，戴起来会发出叮叮当当的声响，显得质朴可爱。\n（穿戴该装备需要角色等级至少5级）""",1,1,prop_gem_03,1,0,1,2,3,2,2,0,0,1,0,1,5000,50,0,0,0,,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,0,,,,2,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Y,,,1,1,1,2,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80024,Water Necklace·III,"""取蟹壳中的真珠配入链饰中，装饰的效果十分明显。\n（穿戴该装备需要角色等级至少10级）""",1,1,prop_gem_03,1,0,2,2,3,2,2,0,0,1,0,1,5000,50,0,0,0,,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,0,,,,2,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Y,,,1,1,1,2,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80025,Water Necklace·IV,"""加入了黑真珠之后，不仅更加好看，对于猎人的帮助也更大了。\n（穿戴该装备需要角色等级至少15级）""",1,1,prop_gem_03,1,0,2,2,3,2,2,0,0,1,0,1,5000,50,0,0,0,,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,0,,,,2,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Y,,,1,1,1,2,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80026,Water Necklace·V,"""河岸边常见的白石，遴选出水波纹路较为清晰的制为饰品，表面覆盖湿润的水气。\n（穿戴该装备需要角色等级至少20级）""",1,2,prop_gem_03,1,0,3,2,3,2,2,0,0,1,0,1,5000,50,0,0,0,,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,0,,,,2,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Y,,,1,1,1,2,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80027,Water Necklace·VI,"""水波纹路清晰可见，表面会渗出水珠，效果更为强劲。\n（穿戴该装备需要角色等级至少25级）""",1,2,prop_gem_03,1,0,4,2,3,2,2,0,0,1,0,1,5000,50,0,0,0,,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,0,,,,2,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,8,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Y,,,1,1,1,2,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80028,Water Necklace·VII,"""使用几种常用的矿石晶片缀成的项链，色彩斑斓。\n（穿戴该装备需要角色等级至少30级）""",1,2,prop_gem_03,1,0,4,2,3,2,2,0,0,1,0,1,5000,50,0,0,0,,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,0,,,,2,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,10,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Y,,,1,1,1,2,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80029,Water Necklace·VIII,"""常用的矿石晶片缀成的项链，长度更长，更显华丽。\n（穿戴该装备需要角色等级至少35级）""",1,2,prop_gem_03,1,0,4,2,3,2,2,0,0,1,0,1,5000,50,0,0,0,,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,0,,,,2,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,11,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Y,,,1,1,1,2,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80030,Water Necklace·IX,"""嵌入纯度较高的光水晶，造型优美，佩戴后明显感到水汽升腾。\n（穿戴该装备需要角色等级至少40级）""",1,3,prop_gem_03,1,0,4,2,3,2,2,0,0,1,0,1,5000,50,0,0,0,,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,0,,,,2,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,13,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Y,,,1,1,1,2,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80031,Water Necklace·X,"""在光水晶挂坠的基础上进行了加工，选用了更大的光水晶。\n（穿戴该装备需要角色等级至少45级）""",1,3,prop_gem_03,1,0,4,2,3,2,2,0,0,1,0,1,5000,50,0,0,0,,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,0,,,,2,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,14,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Y,,,1,1,1,2,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80032,Water Necklace·XI,"""水滴状的坠饰，只是黯淡的辉水晶让它显得不那么“高档”。\n（穿戴该装备需要角色等级至少50级）""",1,4,prop_gem_03,1,0,4,2,3,2,2,0,0,1,0,1,5000,50,0,0,0,,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,0,,,,2,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,16,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Y,,,1,1,1,2,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80033,Water Necklace·XII,"""水滴状的坠饰，形制小巧，切面很多，只有砥砺技术相当纯属的工匠才有资格锻造。\n（穿戴该装备需要角色等级至少55级）""",1,4,prop_gem_03,1,0,4,2,3,2,2,0,0,1,0,1,5000,50,0,0,0,,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,0,,,,2,0,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,18,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Y,,,1,1,1,2,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80034,Water Necklace·XIII,"""纯水晶锻造的晶石项链，透光度很高，隐隐可以看到水波流动。\n（穿戴该装备需要角色等级至少120级）""",1,5,prop_gem_03,1,0,4,2,3,2,2,0,0,1,0,1,5000,50,0,0,0,,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,0,,,,2,0,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,20,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Y,,,1,1,1,2,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80035,Water Necklace·XIV,"""各异晶石串联的项链，微微碰撞发出的声响好似流水声。\n（穿戴该装备需要角色等级至少125级）""",1,6,prop_gem_03,1,0,4,2,3,2,2,0,0,1,0,1,5000,50,0,0,0,,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,0,,,,2,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,22,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Y,,,1,1,1,2,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80036,Water Necklace·XV,"""各异晶石串联的项链，微微碰撞发出的声响好似流水声。\n（穿戴该装备需要角色等级至少130级）""",1,7,prop_gem_03,1,0,4,2,3,2,2,0,0,1,0,1,5000,50,0,0,0,,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,0,,,,2,0,0,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,24,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Y,,,1,1,1,2,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80037,Water Necklace·XVI,"""纵身一跃的鱼造型的玉珏，惟妙惟肖。\n（穿戴该装备需要角色等级至少135级）""",1,8,prop_gem_03,1,0,4,2,3,2,2,0,0,1,0,1,5000,50,0,0,0,,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,0,,,,2,0,0,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,26,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Y,,,1,1,1,2,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80038,Water Necklace·XVII,"""纵身一跃的鱼造型的玉珏，惟妙惟肖。\n（穿戴该装备需要角色等级至少140级）""",1,9,prop_gem_03,1,0,4,2,3,2,2,0,0,1,0,1,5000,50,0,0,0,,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,0,,,,2,0,0,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,28,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Y,,,1,1,1,2,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
