# 总表ID,物品名称,说明,物品等级,稀有度,图标ID,离开副本是否保留,材质,RANK,物品主类,物品中类,物品子类,绑定类型,拥有上限,携带上限,堆叠上限,农场精算点数,可否摧毁,购买价格,出售价格,是否商城道具,可否分解,物品过期时间,物品过期Tag,模型资源(男),模型资源(女),角色等级需求,种族需求,星级职业需求,星级等级需求,需求技能1ID,需求技能1等级MIN,需求技能1等级MAX,需求技能2ID,需求技能2等级MIN,需求技能2等级MAX,猎团等级需求,宠物等级需求,性别需求,可否升级Rank,Rank升级规则,可否升级等级,等级升级规则,可否升级,可否强化,可强化等级,可突破等级,突破所需强化等级,近远程类型,武器长度,初始孔数,最大孔数,攻击力,防御力,会心等级,最大斩味值,红色斩味数值,橙色斩味数值,黄色斩味数值,绿色斩味数值,蓝色斩味数值,白色斩味数值,紫色斩味数值,铜色斩味数值,银色斩味数值,金色斩味数值,耐久度,附加生命,水属性攻击力,火属性攻击力,雷属性攻击力,龙属性攻击力,冰属性攻击力,毒附加,眠附加,麻附加,爆破附加,水抗性,火抗性,雷抗性,龙抗性,冰抗性,力量,爆发,运气,体力,附加属性基因1ID,附加属性基因2ID,附加属性基因3ID,附加属性基因4ID,附加属性基因5ID,附加属性基因6ID,装备被动技1ID,值1,装备被动技2ID,值2,装备被动技3ID,值3,装备被动技4ID,值4,装备被动技5ID,值5,装备被动技6ID,值6,可否被偷窃,随机被动技大组,气刃槽最大值,衰减速度,LV1时间,LV2时间,LV3时间,维持满状态时间,觉醒索引编号,觉醒等级1,觉醒等级2,觉醒等级3,突破特效1,突破特效2,突破特效3,强化规则,强化特效1,强化特效2,强化特效3,排序参数,染色规则,商城索引ID,是否投放,高跟鞋,套装ID,是否被幻化,是否幻化,幻化消耗,淬炼规则,淬炼等级上限,是否允许退火,升级消耗规则,等级提升上限,粘合剂id,粘合剂数量,是否为残兵,解绑道具,解绑道具数量,护石熔炼规则,直升规则集,攻击力成长,防御力成长,附加生命成长,水属性攻击力成长,火属性攻击力成长,雷属性攻击力成长,龙属性攻击力成长,冰属性攻击力成长,水抗性成长,火抗性成长,雷抗性成长,龙抗性成长,冰抗性成长,力量成长,爆发成长,运气成长,体力成长,毒附加成长,眠附加成长,麻附加成长,爆破附加成长
150503,崩坏双刃改,使用岩龙素材打造的双刀，硬度超乎想象，高速舞动下能造成很大的破坏。,35,1,ep_yl_14,0,1,1,2,1,6,2,0,0,1,0,0,161000,1610,0,0,0,,360023,360023,35,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,10,0,99,0,0,0,10,119,0,-10,2500000,320000,700000,1480000,1950000,2920000,3690000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,7,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150504,催眠双刺改,用眠鸟素材打造的具有催眠效果的双剑，拥有能迅速使怪物昏睡的能力。,35,1,ep_mn_14,0,1,1,2,1,6,2,0,0,1,0,0,161000,1610,0,0,0,,360014,360014,35,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,10,0,99,0,0,0,10,92,0,7,2500000,770000,1060000,1140000,1900000,2730000,3560000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,0,0,41,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,7,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150505,凶祸雷击改,以电龙素材打造的雷属性双刀，刀身上有大量雷电留下的痕迹。,35,1,ep_dl_14,0,1,1,2,1,6,2,0,0,1,0,0,161000,1610,0,0,0,,360012,360012,35,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,10,0,99,0,0,0,10,91,0,10,2500000,470000,790000,1200000,1850000,2990000,3100000,4000000,4000000,4000000,4000000,300,0,0,0,25,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,7,31,32,33,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150506,Starshine【Flame】,用星龙素材锻造的弧形双刀，战斗时能照亮周围的环境。,35,1,ep_nb3_14,0,1,1,2,1,6,2,0,0,1,0,0,161000,1610,0,0,0,,360013,360013,35,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,10,0,99,0,0,0,10,117,0,-7,2500000,640000,910000,1330000,1900000,2630000,3020000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,7,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150507,毁灭销魂掌,将战斗能力进一步强化的双锤，准备好承受金毛兽的愤怒了吗。,40,2,ep_jmsw_14,0,1,1,2,1,6,2,0,0,1,0,0,280000,2800,0,0,0,,360203,360203,40,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,15,0,99,0,0,0,10,128,0,0,2500000,980000,1170000,1270000,1900000,2630000,3140000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,8,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150508,遥啸孪生刃,形似飞镖的双刀，在战斗进入危难关头可以扔出去自保。,40,2,ep_lx_14,0,1,1,2,1,6,2,0,0,1,0,0,280000,2800,0,0,0,,360015,360015,40,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,15,0,99,0,0,0,10,102,0,0,2500000,680000,1290000,1710000,1900000,2730000,3490000,4000000,4000000,4000000,4000000,300,0,27,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,8,11,12,13,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150509,寒光冰棘云从,代表雪狮子王的极寒之刃，在雪地中反射的光芒很耀眼。,40,2,ep_xszw_14,0,1,1,2,1,6,2,0,0,1,0,0,280000,2800,0,0,0,,360017,360017,40,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,15,0,99,0,0,0,10,102,0,0,2500000,170000,280000,660000,1800000,2890000,3460000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,28,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,8,51,52,53,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150510,崩坏鸳鸯刃,使用岩龙素材打造的双刀，硬度超乎想象，高速舞动下能造成很大的破坏。,40,2,ep_yl_14,0,1,1,2,1,6,2,0,0,1,0,0,280000,2800,0,0,0,,360023,360023,40,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,15,0,99,0,0,0,10,135,0,-15,2500000,580000,760000,1170000,1950000,2780000,3360000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,8,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150511,穗尾锤剑勾魂,沙雷鸟素材制造的双刀，打击和刺击性能同样出色。,40,2,ep_sln_14,0,1,1,2,1,6,2,0,0,1,0,0,280000,2800,0,0,0,,360009,360009,40,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,15,0,99,0,0,0,10,102,0,0,2500000,230000,570000,1310000,1850000,2890000,3420000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,0,0,0,47,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,8,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150512,青鸟黑风双煞,采用青怪鸟素材改造的双刀，挥舞时有劈开空气的尖锐呼啸。,40,2,ep_qgn_14,0,1,1,2,1,6,2,0,0,1,0,0,280000,2800,0,0,0,,360202,360202,40,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,15,0,99,0,0,0,10,104,0,-7,2500000,730000,990000,1180000,1850000,2760000,3580000,4000000,4000000,4000000,4000000,300,0,0,27,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,8,21,22,23,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150513,干枯双铗变异,带有紫毒鸟毒物的可怕双刀，淬毒的刀刃使人不敢接近。,40,2,ep_zdn_14,0,1,1,2,1,6,2,0,0,1,0,0,280000,2800,0,0,0,,360204,360204,40,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,15,0,99,0,0,0,10,102,0,0,2500000,760000,980000,1100000,2000000,2940000,3730000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,0,42,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,8,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150514,催眠双刺真,用眠鸟素材打造的具有催眠效果的双剑，拥有能迅速使怪物昏睡的能力。,40,2,ep_mn_14,0,1,1,2,1,6,2,0,0,1,0,0,280000,2800,0,0,0,,360014,360014,40,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,15,0,99,0,0,0,10,101,0,7,2500000,620000,1060000,1330000,1900000,2680000,3020000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,0,0,42,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,8,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150515,凶祸雷击湮灭,以电龙素材打造的雷属性双刀，刀身上有大量雷电留下的痕迹。,40,2,ep_dl_14,0,1,1,2,1,6,2,0,0,1,0,0,280000,2800,0,0,0,,360012,360012,40,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,15,0,99,0,0,0,10,100,0,10,2500000,410000,530000,850000,1850000,2970000,3010000,4000000,4000000,4000000,4000000,300,0,0,0,27,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,8,31,32,33,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150516,狂徒无双双剑,带有狡诈气息的双剑，怪物一旦被盯上就难以自行逃脱。,40,2,ep_hsz_14,0,1,1,2,1,6,2,0,0,1,0,0,280000,2800,0,0,0,,360205,360205,40,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,15,0,99,0,0,0,10,101,0,7,2500000,780000,1140000,1530000,1850000,2700000,3390000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,0,0,0,42,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,8,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150517,Genuine Starshine【Flame】,用星龙素材锻造的弧形双刀，战斗时能照亮周围的环境。,40,2,ep_nb3_14,0,1,1,2,1,6,2,0,0,1,0,0,280000,2800,0,0,0,,360013,360013,40,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,15,0,99,0,0,0,10,128,0,0,2500000,890000,950000,1140000,1900000,2710000,3210000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,8,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150518,毁灭麒麟掌,将战斗能力进一步强化的双锤，准备好承受金毛兽的愤怒了吗。,45,2,ep_jmsw_14,0,1,1,2,1,6,2,0,0,1,0,0,280000,2800,0,0,0,,360203,360203,40,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,15,0,99,0,0,0,10,140,0,0,3000000,510000,800000,1450000,1960000,2400000,3310000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,9,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150519,遥啸孪生相杀刃,形似飞镖的双刀，在战斗进入危难关头可以扔出去自保。,45,2,ep_lx_14,0,1,1,2,1,6,2,0,0,1,0,0,280000,2800,0,0,0,,360015,360015,40,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,15,0,99,0,0,0,10,112,0,0,3000000,1160000,1500000,1820000,2060000,2400000,3430000,4000000,4000000,4000000,4000000,300,0,30,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,9,11,12,13,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150520,寒光冰棘长空,代表雪狮子王的极寒之刃，在雪地中反射的光芒很耀眼。,45,2,ep_xszw_14,0,1,1,2,1,6,2,0,0,1,0,0,280000,2800,0,0,0,,360017,360017,40,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,15,0,99,0,0,0,10,112,0,0,3000000,1130000,1300000,1720000,2000000,2300000,3110000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,31,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,9,51,52,53,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150521,崩坏鸳鸯相思刃,使用岩龙素材打造的双刀，硬度超乎想象，高速舞动下能造成很大的破坏。,45,2,ep_yl_14,0,1,1,2,1,6,2,0,0,1,0,0,280000,2800,0,0,0,,360023,360023,40,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,15,0,99,0,0,0,10,147,0,-15,3000000,740000,820000,1050000,2030000,2450000,3120000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,9,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150522,穗尾锤剑勾魂夺魄,沙雷鸟素材制造的双刀，打击和刺击性能同样出色。,45,2,ep_sln_14,0,1,1,2,1,6,2,0,0,1,0,0,280000,2800,0,0,0,,360009,360009,40,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,15,0,99,0,0,0,10,115,0,-10,3000000,780000,1040000,1980000,2060000,2350000,3310000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,0,0,0,52,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,9,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150523,青鸟黑风双煞改,采用青怪鸟素材改造的双刀，挥舞时有劈开空气的尖锐呼啸。,45,2,ep_qgn_14,0,1,1,2,1,6,2,0,0,1,0,0,280000,2800,0,0,0,,360202,360202,40,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,15,0,99,0,0,0,10,115,0,-10,3000000,910000,1060000,1840000,2130000,2350000,3270000,4000000,4000000,4000000,4000000,300,0,0,29,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,9,21,22,23,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150524,干枯双铗黑化,带有紫毒鸟毒物的可怕双刀，淬毒的刀刃使人不敢接近。,45,2,ep_zdn_14,0,1,1,2,1,6,2,0,0,1,0,0,280000,2800,0,0,0,,360204,360204,40,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,15,0,99,0,0,0,10,112,0,0,3000000,120000,570000,820000,1950000,2500000,3210000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,0,43,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,9,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150525,催眠双刺极,用眠鸟素材打造的具有催眠效果的双剑，拥有能迅速使怪物昏睡的能力。,45,2,ep_mn_14,0,1,1,2,1,6,2,0,0,1,0,0,280000,2800,0,0,0,,360014,360014,40,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,15,0,99,0,0,0,10,111,0,7,3000000,750000,1160000,1360000,1840000,2400000,3290000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,0,0,43,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,9,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150526,凶祸雷击起源,以电龙素材打造的雷属性双刀，刀身上有大量雷电留下的痕迹。,45,2,ep_dl_14,0,1,1,2,1,6,2,0,0,1,0,0,280000,2800,0,0,0,,360012,360012,40,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,15,0,99,0,0,0,10,109,0,10,3000000,1310000,1930000,2030000,2200000,2350000,3060000,4000000,4000000,4000000,4000000,300,0,0,0,30,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,9,31,32,33,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
