# 总表ID,物品名称,说明,物品等级,稀有度,图标ID,离开副本是否保留,材质,RANK,物品主类,物品中类,物品子类,绑定类型,拥有上限,携带上限,堆叠上限,农场精算点数,可否摧毁,购买价格,出售价格,是否商城道具,可否分解,物品过期时间,模型资源(男),模型资源(女),角色等级需求,种族需求,星级职业需求,星级等级需求,需求技能1ID,需求技能1等级MIN,需求技能1等级MAX,需求技能2ID,需求技能2等级MIN,需求技能2等级MAX,猎团等级需求,宠物等级需求,性别需求,可否升级Rank,Rank升级规则,可否升级等级,等级升级规则,可否升级,可否强化,可强化等级,可突破等级,突破所需强化等级,近远程类型,武器长度,初始孔数,最大孔数,攻击力,防御力,会心等级,最大斩味值,红色斩味数值,橙色斩味数值,黄色斩味数值,绿色斩味数值,蓝色斩味数值,白色斩味数值,紫色斩味数值,铜色斩味数值,银色斩味数值,金色斩味数值,耐久度,附加生命,水属性攻击力,火属性攻击力,雷属性攻击力,龙属性攻击力,冰属性攻击力,毒附加,眠附加,麻附加,爆破附加,水抗性,火抗性,雷抗性,龙抗性,冰抗性,力量,爆发,运气,体力,附加属性基因1ID,附加属性基因2ID,附加属性基因3ID,附加属性基因4ID,附加属性基因5ID,附加属性基因6ID,装备被动技1ID,值1,装备被动技2ID,值2,装备被动技3ID,值3,装备被动技4ID,值4,装备被动技5ID,值5,装备被动技6ID,值6,可否被偷窃,随机被动技大组,排序参数,强化规则,染色规则,物品过期Tag,商城索引ID,是否投放,高跟鞋,套装ID,是否被幻化,是否幻化,幻化消耗,淬炼规则,淬炼等级上限,是否允许退火,升级消耗规则,等级提升上限,粘合剂id,粘合剂数量,是否为残兵,解绑道具,解绑道具数量,护石熔炼规则,直升规则集,攻击力成长,防御力成长,附加生命成长,水属性攻击力成长,火属性攻击力成长,雷属性攻击力成长,龙属性攻击力成长,冰属性攻击力成长,水抗性成长,火抗性成长,雷抗性成长,龙抗性成长,冰抗性成长,力量成长,爆发成长,运气成长,体力成长,毒附加成长,眠附加成长,麻附加成长,爆破附加成长
60011,P。Caeser Helm,使用Caeser素材制作的头部防具，具有一定的防御能力。,1,1,ep_hls_01,1,0,1,2,2,1,2,0,0,1,0,0,600,1,0,0,0,111001,121001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,,,,0,,1,3,,3,,,,,,,,,,,,,,,,,,,,,,,,4,-2,0,0,0,,,,,,,,,,,7,2,5,1,114,-2,0,0,0,0,0,0,,,,,,,,Y,,,1,1,1,,,,60011,150,,,,,,,1085;1090;1095;1100;1105;1110;1115;1120;3010;3020;3030;3040;3050;3060;3070;3080;3090;3095;3100;3105;3110;3115;3120;3125;3130;3135;3140;3145;3150;3155;3160;3165;3170;3175;3180,,0.8,,,,,,,,,,,,,,,,,,,
60012,P。Caeser Braces,使用Caeser素材制作的腕部防具，在发起攻击时保 Guards腕。,1,1,ep_hls_03,1,0,1,2,2,2,2,0,0,1,0,0,600,1,0,0,0,211001,221001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,,,,0,,1,3,,3,,,,,,,,,,,,,,,,,,,,,,,,4,-2,0,0,0,,,,,,,,,,,7,1,114,-1,0,0,0,0,0,0,0,0,,,,,,,,Y,,,1,1,1,,,,60011,150,,,,,,,1085;1090;1095;1100;1105;1110;1115;1120;3010;3020;3030;3040;3050;3060;3070;3080;3090;3095;3100;3105;3110;3115;3120;3125;3130;3135;3140;3145;3150;3155;3160;3165;3170;3175;3180,,0.8,,,,,,,,,,,,,,,,,,,
60013,P。Caeser Mail,"以Caeser坚硬皮为基础缝制而成的胸部防具，简单实用,为猎人提供基础保护。",1,1,ep_hls_02,1,0,1,2,2,3,2,0,0,1,0,0,600,1,0,0,0,311001,321001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,,,,0,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,5,-2,0,0,0,,,,,,,,,,,7,4,5,3,114,-1,0,0,0,0,0,0,,,,,,,,Y,,,1,1,1,,,,60011,150,,,,,,,1085;1090;1095;1100;1105;1110;1115;1120;3010;3020;3030;3040;3050;3060;3070;3080;3090;3095;3100;3105;3110;3115;3120;3125;3130;3135;3140;3145;3150;3155;3160;3165;3170;3175;3180,,0.8,,,,,,,,,,,,,,,,,,,
60014,P。Caeser Faulds,"使用Caeser素材制作而成,性能不错的基础腰部防具，适合近战猎人。",1,1,ep_hls_05,1,0,1,2,2,4,2,0,0,1,0,0,600,1,0,0,0,411001,421001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,,,,0,,1,3,,3,,,,,,,,,,,,,,,,,,,,,,,,4,-2,0,0,0,,,,,,,,,,,7,2,5,3,114,-2,0,0,0,0,0,0,,,,,,,,Y,,,1,1,1,,,,60011,150,,,,,,,1085;1090;1095;1100;1105;1110;1115;1120;3010;3020;3030;3040;3050;3060;3070;3080;3090;3095;3100;3105;3110;3115;3120;3125;3130;3135;3140;3145;3150;3155;3160;3165;3170;3175;3180,,0.8,,,,,,,,,,,,,,,,,,,
60015,P。Caeser Greaves,"使用Caeser素材制作的腿部防具，没有加入大量金属,移动能力优秀。",1,1,ep_hls_04,1,0,1,2,2,5,2,0,0,1,0,0,600,1,0,0,0,511001,521001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,,,,0,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,4,-2,0,0,0,,,,,,,,,,,7,1,5,3,114,-1,0,0,0,0,0,0,,,,,,,,Y,,,1,1,1,,,,60011,150,,,,,,,1085;1090;1095;1100;1105;1110;1115;1120;3010;3020;3030;3040;3050;3060;3070;3080;3090;3095;3100;3105;3110;3115;3120;3125;3130;3135;3140;3145;3150;3155;3160;3165;3170;3175;3180,,0.8,,,,,,,,,,,,,,,,,,,
60016,P。Caeser Cap,"远程猎人装备,使用Caeser素材制作的头部防具，瞄准时头部非常舒适。",1,1,ep_hls_01,1,0,1,2,2,1,2,0,0,1,0,0,600,1,0,0,0,112001,122001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,,,,1,,1,3,,1.8,,,,,,,,,,,,,,,,,,,,,,,,3,-2,0,0,0,,,,,,,,,,,7,2,5,1,114,-2,0,0,0,0,0,0,,,,,,,,Y,,,1,1,1,,,,60011,150,,,,,,,1085;1090;1095;1100;1105;1110;1115;1120;3010;3020;3030;3040;3050;3060;3070;3080;3090;3095;3100;3105;3110;3115;3120;3125;3130;3135;3140;3145;3150;3155;3160;3165;3170;3175;3180,,0.48,,,,,,,,,,,,,,,,,,,
60017,P。Caeser Guards,"远程猎人装备,使用Caeser素材制作的腕部装备,可以抵御一定的伤害。",1,1,ep_hls_03,1,0,1,2,2,2,2,0,0,1,0,0,600,1,0,0,0,212001,222001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,,,,1,,1,3,,1.8,,,,,,,,,,,,,,,,,,,,,,,,3,-1,0,0,0,,,,,,,,,,,7,1,114,-1,0,0,0,0,0,0,0,0,,,,,,,,Y,,,1,1,1,,,,60011,150,,,,,,,1085;1090;1095;1100;1105;1110;1115;1120;3010;3020;3030;3040;3050;3060;3070;3080;3090;3095;3100;3105;3110;3115;3120;3125;3130;3135;3140;3145;3150;3155;3160;3165;3170;3175;3180,,0.48,,,,,,,,,,,,,,,,,,,
60018,P。Caeser Vest,"远程猎人装备,使用Caeser素材制作的胸部防具，质量很轻,穿上后可以灵活移动。",1,1,ep_hls_02,1,0,1,2,2,3,2,0,0,1,0,0,600,1,0,0,0,312001,322001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,,,,1,,,3,,1.8,,,,,,,,,,,,,,,,,,,,,,,,4,-2,0,0,0,,,,,,,,,,,7,4,5,3,114,-1,0,0,0,0,0,0,,,,,,,,Y,,,1,1,1,,,,60011,150,,,,,,,1085;1090;1095;1100;1105;1110;1115;1120;3010;3020;3030;3040;3050;3060;3070;3080;3090;3095;3100;3105;3110;3115;3120;3125;3130;3135;3140;3145;3150;3155;3160;3165;3170;3175;3180,,0.48,,,,,,,,,,,,,,,,,,,
60019,P。Caeser Coat,"远程猎人装备,使用Caeser素材制作的腰部防具，提供基本的防御能力。",1,1,ep_hls_05,1,0,1,2,2,4,2,0,0,1,0,0,600,1,0,0,0,412001,422001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,,,,1,,1,3,,1.8,,,,,,,,,,,,,,,,,,,,,,,,4,-2,0,0,0,,,,,,,,,,,7,2,5,3,114,-2,0,0,0,0,0,0,,,,,,,,Y,,,1,1,1,,,,60011,150,,,,,,,1085;1090;1095;1100;1105;1110;1115;1120;3010;3020;3030;3040;3050;3060;3070;3080;3090;3095;3100;3105;3110;3115;3120;3125;3130;3135;3140;3145;3150;3155;3160;3165;3170;3175;3180,,0.48,,,,,,,,,,,,,,,,,,,
60020,P。Caeser Pants,"远程猎人装备,使用Caeser素材制作的腿部防具，移动能力非常强。",1,1,ep_hls_04,1,0,1,2,2,5,2,0,0,1,0,0,600,1,0,0,0,512001,522001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,,,,1,,,3,,1.8,,,,,,,,,,,,,,,,,,,,,,,,3,-1,0,0,0,,,,,,,,,,,7,1,5,3,114,-1,0,0,0,0,0,0,,,,,,,,Y,,,1,1,1,,,,60011,150,,,,,,,1085;1090;1095;1100;1105;1110;1115;1120;3010;3020;3030;3040;3050;3060;3070;3080;3090;3095;3100;3105;3110;3115;3120;3125;3130;3135;3140;3145;3150;3155;3160;3165;3170;3175;3180,,0.48,,,,,,,,,,,,,,,,,,,
60021,P。Veloci. Helm,使用Veloci.素材制作的头部防具，防御性能相当优秀。,1,1,ep_lslw_01,1,0,1,2,2,1,2,0,0,1,0,0,600,1,0,0,0,111002,121002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,,,,0,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,-2,0,,,,,,,,,,,19,2,124,2,18,-1,0,0,0,0,0,0,,,,,,,,Y,,,1,1,1,,,,60012,150,,,,,,,1085;1090;1095;1100;1105;1110;1115;1120;3010;3020;3030;3040;3050;3060;3070;3080;3090;3095;3100;3105;3110;3115;3120;3125;3130;3135;3140;3145;3150;3155;3160;3165;3170;3175;3180,,0.8,,,,,,,,,,,,,,,,,,,
60022,P。Veloci. Braces,使用Veloci.素材制作的腕部防具，具有令人满意的防御性能。,1,1,ep_lslw_03,1,0,1,2,2,2,2,0,0,1,0,0,600,1,0,0,0,211002,221002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,,,,0,,1,3,,3,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,-2,0,,,,,,,,,,,19,3,124,2,18,-1,0,0,0,0,0,0,,,,,,,,Y,,,1,1,1,,,,60012,150,,,,,,,1085;1090;1095;1100;1105;1110;1115;1120;3010;3020;3030;3040;3050;3060;3070;3080;3090;3095;3100;3105;3110;3115;3120;3125;3130;3135;3140;3145;3150;3155;3160;3165;3170;3175;3180,,0.8,,,,,,,,,,,,,,,,,,,
60023,P。Veloci. Mail,"使用Veloci.素材制作的胸部防具，素材容易获得,防御耐性均衡。",1,1,ep_lslw_02,1,0,1,2,2,3,2,0,0,1,0,0,600,1,0,0,0,311002,321002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,,,,0,,1,3,,3,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,-2,0,,,,,,,,,,,19,2,124,2,18,-2,0,0,0,0,0,0,,,,,,,,Y,,,1,1,1,,,,60012,150,,,,,,,1085;1090;1095;1100;1105;1110;1115;1120;3010;3020;3030;3040;3050;3060;3070;3080;3090;3095;3100;3105;3110;3115;3120;3125;3130;3135;3140;3145;3150;3155;3160;3165;3170;3175;3180,,0.8,,,,,,,,,,,,,,,,,,,
60024,P。Veloci. Faulds,"使用Veloci.素材制作的腰部防具，重量与平衡兼备,适合近战猎人。",1,1,ep_lslw_05,1,0,1,2,2,4,2,0,0,1,0,0,600,1,0,0,0,411002,421002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,,,,0,,1,3,,3,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,-2,0,,,,,,,,,,,19,1,124,2,18,-2,0,0,0,0,0,0,,,,,,,,Y,,,1,1,1,,,,60012,150,,,,,,,1085;1090;1095;1100;1105;1110;1115;1120;3010;3020;3030;3040;3050;3060;3070;3080;3090;3095;3100;3105;3110;3115;3120;3125;3130;3135;3140;3145;3150;3155;3160;3165;3170;3175;3180,,0.8,,,,,,,,,,,,,,,,,,,
60025,P。Veloci. Greaves,使用Veloci.素材制作的腿部防具，无论大小腿还是脚步都能保护到位。,1,1,ep_lslw_04,1,0,1,2,2,5,2,0,0,1,0,0,600,1,0,0,0,511002,521002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,,,,0,,1,3,,3,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,-2,0,,,,,,,,,,,19,2,124,2,18,-2,0,0,0,0,0,0,,,,,,,,Y,,,1,1,1,,,,60012,150,,,,,,,1085;1090;1095;1100;1105;1110;1115;1120;3010;3020;3030;3040;3050;3060;3070;3080;3090;3095;3100;3105;3110;3115;3120;3125;3130;3135;3140;3145;3150;3155;3160;3165;3170;3175;3180,,0.8,,,,,,,,,,,,,,,,,,,
60026,P。Veloci. Cap,"远程猎人装备,使用蓝速龙素材制作的头部防具，在战斗中具有持久的防御力。",1,1,ep_lslw_01,1,0,1,2,2,1,2,0,0,1,0,0,600,1,0,0,0,112002,122002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,,,,1,,,3,,1.8,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,-2,0,,,,,,,,,,,19,2,124,2,18,-1,0,0,0,0,0,0,,,,,,,,Y,,,1,1,1,,,,60012,150,,,,,,,1085;1090;1095;1100;1105;1110;1115;1120;3010;3020;3030;3040;3050;3060;3070;3080;3090;3095;3100;3105;3110;3115;3120;3125;3130;3135;3140;3145;3150;3155;3160;3165;3170;3175;3180,,0.48,,,,,,,,,,,,,,,,,,,
60027,P。Veloci. Guards,"远程猎人装备,使用蓝速龙素材制作的腕部防具，以防御为重点而打造。",1,1,ep_lslw_03,1,0,1,2,2,2,2,0,0,1,0,0,600,1,0,0,0,212002,222002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,,,,1,,1,3,,1.8,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,-1,0,,,,,,,,,,,19,3,124,2,18,-1,0,0,0,0,0,0,,,,,,,,Y,,,1,1,1,,,,60012,150,,,,,,,1085;1090;1095;1100;1105;1110;1115;1120;3010;3020;3030;3040;3050;3060;3070;3080;3090;3095;3100;3105;3110;3115;3120;3125;3130;3135;3140;3145;3150;3155;3160;3165;3170;3175;3180,,0.48,,,,,,,,,,,,,,,,,,,
60028,P。Veloci. Vest,"远程猎人装备,使用蓝速龙素材制作的胸部防具，混入矿石后实用性变得很高。",1,1,ep_lslw_02,1,0,1,2,2,3,2,0,0,1,0,0,600,1,0,0,0,312002,322002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,,,,1,,1,3,,1.8,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,-2,0,,,,,,,,,,,19,2,124,2,18,-2,0,0,0,0,0,0,,,,,,,,Y,,,1,1,1,,,,60012,150,,,,,,,1085;1090;1095;1100;1105;1110;1115;1120;3010;3020;3030;3040;3050;3060;3070;3080;3090;3095;3100;3105;3110;3115;3120;3125;3130;3135;3140;3145;3150;3155;3160;3165;3170;3175;3180,,0.48,,,,,,,,,,,,,,,,,,,
60029,P。Veloci. Coat,"远程猎人装备,使用蓝速龙素材制作的腰部防具，简单耐用且容易制作。",1,1,ep_lslw_05,1,0,1,2,2,4,2,0,0,1,0,0,600,1,0,0,0,412002,422002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,,,,1,,1,3,,1.8,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,-2,0,,,,,,,,,,,19,1,124,2,18,-2,0,0,0,0,0,0,,,,,,,,Y,,,1,1,1,,,,60012,150,,,,,,,1085;1090;1095;1100;1105;1110;1115;1120;3010;3020;3030;3040;3050;3060;3070;3080;3090;3095;3100;3105;3110;3115;3120;3125;3130;3135;3140;3145;3150;3155;3160;3165;3170;3175;3180,,0.48,,,,,,,,,,,,,,,,,,,
60030,P。Veloci. Pants,"远程猎人装备,使用蓝速龙素材制作的腿部防具，穿上后不会妨碍下半身的活动。",1,1,ep_lslw_04,1,0,1,2,2,5,2,0,0,1,0,0,600,1,0,0,0,512002,522002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,,,,1,,1,3,,1.8,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,-1,0,,,,,,,,,,,19,2,124,2,18,-2,0,0,0,0,0,0,,,,,,,,Y,,,1,1,1,,,,60012,150,,,,,,,1085;1090;1095;1100;1105;1110;1115;1120;3010;3020;3030;3040;3050;3060;3070;3080;3090;3095;3100;3105;3110;3115;3120;3125;3130;3135;3140;3145;3150;3155;3160;3165;3170;3175;3180,,0.48,,,,,,,,,,,,,,,,,,,
60031,P。Bulldrome Helm,使用Bulldrome素材打造的头部防具，充满原始与野性的味道。,1,1,ep_dyzw_01,1,0,1,2,2,1,2,0,0,1,0,0,600,1,0,0,0,111003,121003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,,,,0,,1,3,,3,,,,,,,,,,,,,,,,,,,,,,,,-4,2,-2,2,0,,,,,,,,,,,119,3,2,2,31,-1,0,0,0,0,0,0,,,,,,,,Y,,,1,1,1,,,,60013,150,,,,,,,1085;1090;1095;1100;1105;1110;1115;1120;3010;3020;3030;3040;3050;3060;3070;3080;3090;3095;3100;3105;3110;3115;3120;3125;3130;3135;3140;3145;3150;3155;3160;3165;3170;3175;3180,,0.8,,,,,,,,,,,,,,,,,,,
