# 总表ID,物品名称,说明,物品等级,稀有度,图标ID,离开副本是否保留,材质,RANK,物品主类,物品中类,物品子类,绑定类型,拥有上限,携带上限,堆叠上限,农场精算点数,可否摧毁,购买价格,出售价格,是否商城道具,可否分解,物品过期时间,物品过期Tag,模型资源(男),模型资源(女),角色等级需求,种族需求,星级职业需求,星级等级需求,需求技能1ID,需求技能1等级MIN,需求技能1等级MAX,需求技能2ID,需求技能2等级MIN,需求技能2等级MAX,猎团等级需求,宠物等级需求,性别需求,可否升级Rank,Rank升级规则,可否升级等级,等级升级规则,可否升级,可否强化,可强化等级,可突破等级,突破所需强化等级,近远程类型,武器长度,初始孔数,最大孔数,攻击力,防御力,会心等级,最大斩味值,红色斩味数值,橙色斩味数值,黄色斩味数值,绿色斩味数值,蓝色斩味数值,白色斩味数值,紫色斩味数值,铜色斩味数值,银色斩味数值,金色斩味数值,耐久度,附加生命,水属性攻击力,火属性攻击力,雷属性攻击力,龙属性攻击力,冰属性攻击力,毒附加,眠附加,麻附加,爆破附加,水抗性,火抗性,雷抗性,龙抗性,冰抗性,力量,爆发,运气,体力,附加属性基因1ID,附加属性基因2ID,附加属性基因3ID,附加属性基因4ID,附加属性基因5ID,附加属性基因6ID,装备被动技1ID,值1,装备被动技2ID,值2,装备被动技3ID,值3,装备被动技4ID,值4,装备被动技5ID,值5,装备被动技6ID,值6,可否被偷窃,随机被动技大组,劲力槽1段,劲力槽2段,附加劲力值,衰减速度,觉醒索引编号,觉醒等级1,觉醒等级2,觉醒等级3,突破特效1,突破特效2,突破特效3,强化规则,强化特效1,强化特效2,强化特效3,排序参数,染色规则,商城索引ID,是否投放,高跟鞋,套装ID,是否被幻化,是否幻化,幻化消耗,淬炼规则,淬炼等级上限,是否允许退火,升级消耗规则,等级提升上限,粘合剂id,粘合剂数量,是否为残兵,解绑道具,解绑道具数量,护石熔炼规则,直升规则集,攻击力成长,防御力成长,附加生命成长,水属性攻击力成长,火属性攻击力成长,雷属性攻击力成长,龙属性攻击力成长,冰属性攻击力成长,水抗性成长,火抗性成长,雷抗性成长,龙抗性成长,冰抗性成长,力量成长,爆发成长,运气成长,体力成长,毒附加成长,眠附加成长,麻附加成长,爆破附加成长
421001,新手斩斧,使用期限30天,1,4,ep_novice001_x,1,1,1,2,5,12,2,0,0,1,0,0,99999,1,1,0,2592000,,420200,420200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,99,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,1,,,,,,,Y,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421002,新手斩斧,使用期限365天,1,4,ep_novice001_x,1,1,1,2,5,12,2,0,0,1,0,0,99999,1,1,0,31536000,,420200,420200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,99,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,1,,,,,,,Y,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421003,新手斩斧,,1,4,ep_novice001_x,1,1,1,2,5,12,2,0,0,1,0,0,99999,1,1,0,0,,420200,420200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,99,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,1,,,,,,,Y,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208001,冒险者斩斧,商团为冒险者们统一配备的斩斧。,40,1,ep_xf_16,0,1,1,2,1,12,2,0,0,1,0,0,0,0,0,0,0,,420200,420200,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,10,0,99,0,0,0,10,150,0,0,2500000,450000,950000,1650000,2250000,2900000,3450000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,16120004,16120015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1,1,2,3,,,,2,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208002,铠斧,,40,1,ep_kl_16,0,1,1,2,1,12,0,0,0,1,0,0,0,0,0,0,0,,420039,420039,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,10,0,99,0,0,0,10,160,0,5,2000000,610000,1020000,1680000,2170000,2700000,3310000,4000000,4000000,4000000,4000000,300,0,0,37,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,16120004,16120015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,11,21,22,23,,,,2,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208003,铠斧,,40,1,ep_kl_16,0,1,1,2,1,12,0,0,0,1,0,0,0,0,0,0,0,,420039,420039,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,10,0,99,0,0,0,10,160,0,-15,2300000,970000,1550000,2270000,2640000,2880000,3580000,4000000,4000000,4000000,4000000,300,0,0,37,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,16120004,16120015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,11,21,22,23,,,,2,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208004,铠斧,,40,1,ep_kl_16,0,1,1,2,1,12,0,0,0,1,0,0,0,0,0,0,0,,420039,420039,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,10,0,99,0,0,0,10,160,0,-5,2000000,440000,820000,1080000,2520000,2840000,3340000,4000000,4000000,4000000,4000000,300,0,0,37,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,16120004,16120015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,11,21,22,23,,,,2,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208005,铠斧,,40,1,ep_kl_16,0,1,1,2,1,12,0,0,0,1,0,0,0,0,0,0,0,,420039,420039,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,10,0,99,0,0,0,10,160,0,-5,2000000,310000,890000,1380000,2380000,2910000,3540000,4000000,4000000,4000000,4000000,300,0,0,37,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,16120004,16120015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,11,21,22,23,,,,2,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208006,铠斧,,40,1,ep_kl_16,0,1,1,2,1,12,0,0,0,1,0,0,0,0,0,0,0,,420039,420039,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,10,0,99,0,0,0,10,160,0,5,2500000,910000,1410000,1910000,2470000,3100000,3290000,4000000,4000000,4000000,4000000,300,0,0,37,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,16120004,16120015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,11,21,22,23,,,,2,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208007,苍雪斩,,40,1,ep_xszw_16,0,1,1,2,1,12,0,0,0,1,0,0,0,0,0,0,0,,420017,420017,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,10,0,99,0,0,0,10,160,0,15,2000000,610000,1020000,1680000,2170000,2700000,3310000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,37,0,0,0,,0,0,0,0,0,0,0,0,0,16120005,16120016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,8,51,52,53,,,,2,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208008,苍雪斩,,40,1,ep_xszw_16,0,1,1,2,1,12,0,0,0,1,0,0,0,0,0,0,0,,420017,420017,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,10,0,99,0,0,0,10,160,0,0,2300000,970000,1550000,2270000,2640000,2880000,3580000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,37,0,0,0,,0,0,0,0,0,0,0,0,0,16120005,16120016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,8,51,52,53,,,,2,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208009,苍雪斩,,40,1,ep_xszw_16,0,1,1,2,1,12,0,0,0,1,0,0,0,0,0,0,0,,420017,420017,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,10,0,99,0,0,0,10,160,0,-10,2000000,440000,820000,1080000,2520000,2840000,3340000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,37,0,0,0,,0,0,0,0,0,0,0,0,0,16120005,16120016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,8,51,52,53,,,,2,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208010,苍雪斩,,40,1,ep_xszw_16,0,1,1,2,1,12,0,0,0,1,0,0,0,0,0,0,0,,420017,420017,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,10,0,99,0,0,0,10,160,0,-10,2000000,310000,890000,1380000,2380000,2910000,3540000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,37,0,0,0,,0,0,0,0,0,0,0,0,0,16120005,16120016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,8,51,52,53,,,,2,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208011,苍雪斩,,40,1,ep_xszw_16,0,1,1,2,1,12,0,0,0,1,0,0,0,0,0,0,0,,420017,420017,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,10,0,99,0,0,0,10,160,0,5,2500000,910000,1410000,1910000,2470000,3100000,3290000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,37,0,0,0,,0,0,0,0,0,0,0,0,0,16120005,16120016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,8,51,52,53,,,,2,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208012,将军剑斧,,40,1,ep_lx_16,0,1,1,2,1,12,0,0,0,1,0,0,0,0,0,0,0,,420015,420015,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,10,0,99,0,0,0,10,160,0,0,2000000,610000,1020000,1680000,2170000,2700000,3310000,4000000,4000000,4000000,4000000,300,0,37,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,16120005,16120016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,8,11,12,13,,,,2,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208013,将军剑斧,,40,1,ep_lx_16,0,1,1,2,1,12,0,0,0,1,0,0,0,0,0,0,0,,420015,420015,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,10,0,99,0,0,0,10,160,0,5,2300000,970000,1550000,2270000,2640000,2880000,3580000,4000000,4000000,4000000,4000000,300,0,37,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,16120005,16120016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,8,11,12,13,,,,2,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208014,将军剑斧,,40,1,ep_lx_16,0,1,1,2,1,12,0,0,0,1,0,0,0,0,0,0,0,,420015,420015,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,10,0,99,0,0,0,10,160,0,0,2000000,440000,820000,1080000,2520000,2840000,3340000,4000000,4000000,4000000,4000000,300,0,37,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,16120005,16120016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,8,11,12,13,,,,2,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208015,将军剑斧,,40,1,ep_lx_16,0,1,1,2,1,12,0,0,0,1,0,0,0,0,0,0,0,,420015,420015,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,10,0,99,0,0,0,10,160,0,5,2000000,310000,890000,1380000,2380000,2910000,3540000,4000000,4000000,4000000,4000000,300,0,37,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,16120005,16120016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,8,11,12,13,,,,2,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208016,将军剑斧,,40,1,ep_lx_16,0,1,1,2,1,12,0,0,0,1,0,0,0,0,0,0,0,,420015,420015,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,10,0,99,0,0,0,10,160,0,-15,2500000,910000,1410000,1910000,2470000,3100000,3290000,4000000,4000000,4000000,4000000,300,0,37,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,16120005,16120016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,8,11,12,13,,,,2,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208017,捕雷者,,40,1,ep_nby_16,0,1,1,2,1,12,0,0,0,1,0,0,0,0,0,0,0,,420073,420073,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,10,0,99,0,0,0,10,160,0,0,2000000,610000,1020000,1680000,2170000,2700000,3310000,4000000,4000000,4000000,4000000,300,0,0,0,37,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,16120004,16120015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,11,31,32,33,,,,2,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208018,捕雷者,,40,1,ep_nby_16,0,1,1,2,1,12,0,0,0,1,0,0,0,0,0,0,0,,420073,420073,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,10,0,99,0,0,0,10,160,0,-15,2300000,970000,1550000,2270000,2640000,2880000,3580000,4000000,4000000,4000000,4000000,300,0,0,0,37,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,16120004,16120015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,11,31,32,33,,,,2,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208019,捕雷者,,40,1,ep_nby_16,0,1,1,2,1,12,0,0,0,1,0,0,0,0,0,0,0,,420073,420073,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,10,0,99,0,0,0,10,160,0,-5,2000000,440000,820000,1080000,2520000,2840000,3340000,4000000,4000000,4000000,4000000,300,0,0,0,37,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,16120004,16120015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,11,31,32,33,,,,2,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208020,捕雷者,,40,1,ep_nby_16,0,1,1,2,1,12,0,0,0,1,0,0,0,0,0,0,0,,420073,420073,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,10,0,99,0,0,0,10,160,0,0,2000000,310000,890000,1380000,2380000,2910000,3540000,4000000,4000000,4000000,4000000,300,0,0,0,37,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,16120004,16120015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,11,31,32,33,,,,2,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208021,捕雷者,,40,1,ep_nby_16,0,1,1,2,1,12,0,0,0,1,0,0,0,0,0,0,0,,420073,420073,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,10,0,99,0,0,0,10,160,0,-5,2500000,910000,1410000,1910000,2470000,3100000,3290000,4000000,4000000,4000000,4000000,300,0,0,0,37,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,16120004,16120015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,11,31,32,33,,,,2,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208022,龙姬剑斧,,40,1,ep_chl_16,0,1,1,2,1,12,0,0,0,1,0,0,0,0,0,0,0,,420021,420021,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,10,0,99,0,0,0,10,180,0,0,2000000,610000,1020000,1680000,2170000,2700000,3310000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,0,15,0,0,,0,0,0,0,0,0,0,0,0,16120005,16120016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,11,1,2,3,,,,2,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208023,龙姬剑斧,,40,1,ep_chl_16,0,1,1,2,1,12,0,0,0,1,0,0,0,0,0,0,0,,420021,420021,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,10,0,99,0,0,0,10,180,0,0,2300000,970000,1550000,2270000,2640000,2880000,3580000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,0,15,0,0,,0,0,0,0,0,0,0,0,0,16120005,16120016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,11,1,2,3,,,,2,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
