# 总表ID,物品名称,说明,物品等级,稀有度,图标ID,离开副本是否保留,材质,RANK,物品主类,物品中类,物品子类,绑定类型,拥有上限,携带上限,堆叠上限,农场精算点数,可否摧毁,购买价格,出售价格,是否商城道具,可否分解,物品过期时间,物品过期Tag,模型资源(男),模型资源(女),角色等级需求,种族需求,星级职业需求,星级等级需求,需求技能1ID,需求技能1等级MIN,需求技能1等级MAX,需求技能2ID,需求技能2等级MIN,需求技能2等级MAX,猎团等级需求,宠物等级需求,性别需求,可否升级Rank,Rank升级规则,可否升级等级,等级升级规则,可否升级,可否强化,可强化等级,可突破等级,突破所需强化等级,近远程类型,武器长度,初始孔数,最大孔数,攻击力,防御力,会心等级,最大斩味值,红色斩味数值,橙色斩味数值,黄色斩味数值,绿色斩味数值,蓝色斩味数值,白色斩味数值,紫色斩味数值,铜色斩味数值,银色斩味数值,金色斩味数值,耐久度,附加生命,水属性攻击力,火属性攻击力,雷属性攻击力,龙属性攻击力,冰属性攻击力,毒附加,眠附加,麻附加,爆破附加,水抗性,火抗性,雷抗性,龙抗性,冰抗性,力量,爆发,运气,体力,附加属性基因1ID,附加属性基因2ID,附加属性基因3ID,附加属性基因4ID,附加属性基因5ID,附加属性基因6ID,装备被动技1ID,值1,装备被动技2ID,值2,装备被动技3ID,值3,装备被动技4ID,值4,装备被动技5ID,值5,装备被动技6ID,值6,可否被偷窃,随机被动技大组,LV1蓄力,LV2蓄力,LV3蓄力,LV4蓄力,积攒满次数,满槽速度,弓满槽值,箭筒,携带数量,弦韧度,曲射类型1,曲射类型2,曲射类型3,曲射类型4,携带瓶1种类,携带瓶1数量,携带瓶2种类,携带瓶2数量,携带瓶3种类,携带瓶3数量,携带瓶4种类,携带瓶4数量,携带瓶5种类,携带瓶5数量,特殊箭种类1,特殊箭数量1,特殊箭种类2,特殊箭数量2,特殊箭种类3,特殊箭数量3,觉醒索引编号,觉醒等级1,觉醒等级2,觉醒等级3,突破特效1,突破特效2,突破特效3,强化规则,强化特效1,强化特效2,强化特效3,排序参数,染色规则,商城索引ID,是否投放,高跟鞋,套装ID,是否被幻化,是否幻化,幻化消耗,淬炼规则,淬炼等级上限,是否允许退火,升级消耗规则,等级提升上限,粘合剂id,粘合剂数量,是否为残兵,解绑道具,解绑道具数量,护石熔炼规则,直升规则集,攻击力成长,防御力成长,附加生命成长,水属性攻击力成长,火属性攻击力成长,雷属性攻击力成长,龙属性攻击力成长,冰属性攻击力成长,水抗性成长,火抗性成长,雷抗性成长,龙抗性成长,冰抗性成长,力量成长,爆发成长,运气成长,体力成长,毒附加成长,眠附加成长,麻附加成长,爆破附加成长
190011,LV3贯通弓（天型3）,LV3贯通弓（天型3）,1,1,ep_lslw_10,1,1,1,2,1,10,2,0,0,1,0,0,50,1,0,0,0,,400200,400200,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,5,30,1,1,0,0,10,500,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,3,3,3,3,特快,40,1,-1,100,,,天型3级,天型3级,强击瓶,15,毒瓶,10,麻瓶,10,眠瓶,10,,,无惧箭,10,,,,,1,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190012,LV4贯通弓（天型3）,LV4贯通弓（天型4）,1,1,ep_lslw_10,1,1,1,2,1,10,2,0,0,1,0,0,50,1,0,0,0,,400200,400200,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,5,30,1,1,0,0,10,500,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,4,4,4,3,特快,40,1,-1,100,,,天型3级,天型3级,强击瓶,15,毒瓶,10,麻瓶,10,眠瓶,10,,,无惧箭,10,,,,,1,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190013,LV4 扩连贯（地型3+天型3）,LV4 扩连贯（地型3+天型3）,1,1,ep_lslw_10,1,1,1,2,1,10,2,0,0,1,0,0,50,1,0,0,0,,400200,400200,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,5,30,1,1,0,0,10,40,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,8,4,12,3,特快,40,1,-1,100,,,地型3级,天型3级,强击瓶,10,毒瓶,10,麻瓶,10,眠瓶,10,,,无惧箭,10,,,,,1,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190014,LV1扩散弓（地型1）（龙属性）,LV1扩散弓（地型1）（龙属性）,1,1,ep_lslw_10,1,1,1,2,1,10,2,0,0,1,0,0,50,1,0,0,0,,400200,400200,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,5,30,1,1,0,0,10,450,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,100,0,0,0,,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,9,9,9,3,特快,40,1,-1,100,,,地型1级,地型1级,强击瓶,10,毒瓶,10,麻瓶,10,眠瓶,10,,,无惧箭,10,,,,,1,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190015,LV2扩散弓（地型2）（龙属性）,LV2扩散弓（地型2）（龙属性）,1,1,ep_lslw_10,1,1,1,2,1,10,2,0,0,1,0,0,50,1,0,0,0,,400200,400200,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,5,30,1,1,0,0,10,450,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,100,0,0,0,,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,10,10,10,3,特快,40,1,-1,100,,,地型2级,地型2级,强击瓶,10,毒瓶,10,麻瓶,10,眠瓶,10,,,无惧箭,10,,,,,1,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190016,LV3扩散弓（地型3）（龙属性）,LV3扩散弓（地型3）（龙属性）,1,1,ep_lslw_10,1,1,1,2,1,10,2,0,0,1,0,0,50,1,0,0,0,,400200,400200,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,5,30,1,1,0,0,10,450,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,100,0,0,0,,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,11,11,11,3,特快,40,1,-1,100,,,地型3级,地型3级,强击瓶,10,毒瓶,10,麻瓶,10,眠瓶,10,,,无惧箭,10,,,,,1,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190017,LV4扩散弓（地型3）（龙属性）,LV4扩散弓（地型4）（龙属性）,1,1,ep_lslw_10,1,1,1,2,1,10,2,0,0,1,0,0,50,1,0,0,0,,400200,400200,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,5,30,1,1,0,0,10,450,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,100,0,0,0,,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,12,12,12,3,特快,40,1,-1,100,,,地型3级,地型3级,强击瓶,10,毒瓶,10,麻瓶,10,眠瓶,10,,,无惧箭,10,,,,,1,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190018,LV1连射弓（天型1）（龙属性）,LV1连射弓（天型1）（龙属性）,1,1,ep_lslw_10,1,1,1,2,1,10,2,0,0,1,0,0,50,1,0,0,0,,400200,400200,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,5,30,1,1,0,0,10,450,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,100,0,0,0,,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,5,5,5,3,特快,40,1,-1,100,,,天型1级,天型1级,强击瓶,10,毒瓶,10,麻瓶,10,眠瓶,10,,,无惧箭,10,,,,,1,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190019,LV2连射弓（天型2）（龙属性）,LV2连射弓（天型2）（龙属性）,1,1,ep_lslw_10,1,1,1,2,1,10,2,0,0,1,0,0,50,1,0,0,0,,400200,400200,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,5,30,1,1,0,0,10,450,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,100,0,0,0,,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,6,6,6,3,特快,40,1,-1,100,,,天型2级,天型2级,强击瓶,10,毒瓶,10,麻瓶,10,眠瓶,10,,,无惧箭,10,,,,,1,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190020,LV3连射弓（天型3）（龙属性）,LV3连射弓（天型3）（龙属性）,1,1,ep_lslw_10,1,1,1,2,1,10,2,0,0,1,0,0,50,1,0,0,0,,400200,400200,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,5,30,1,1,0,0,10,450,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,100,0,0,0,,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,7,7,7,7,3,特快,40,1,-1,100,,,天型3级,天型3级,强击瓶,10,毒瓶,10,麻瓶,10,眠瓶,10,,,无惧箭,10,,,,,1,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190021,LV4连射弓（天型3）（龙属性）,LV4连射弓（天型4）（龙属性）,1,1,ep_lslw_10,1,1,1,2,1,10,2,0,0,1,0,0,50,1,0,0,0,,400200,400200,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,5,30,1,1,0,0,10,450,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,100,0,0,0,,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,8,8,8,3,特快,40,1,-1,100,,,天型3级,天型3级,强击瓶,10,毒瓶,10,麻瓶,10,眠瓶,10,,,无惧箭,10,,,,,1,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190022,LV1贯通弓（天型1）（龙属性）,LV1贯通弓（天型1）（龙属性）,1,1,ep_lslw_10,1,1,1,2,1,10,2,0,0,1,0,0,50,1,0,0,0,,400200,400200,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,5,30,1,1,0,0,10,450,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,100,0,0,0,,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,3,特快,40,1,-1,100,,,天型1级,天型1级,强击瓶,10,毒瓶,10,麻瓶,10,眠瓶,10,,,无惧箭,10,,,,,1,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190023,LV2贯通弓（天型2）（龙属性）,LV2贯通弓（天型2）（龙属性）,1,1,ep_lslw_10,1,1,1,2,1,10,2,0,0,1,0,0,50,1,0,0,0,,400200,400200,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,5,30,1,1,0,0,10,450,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,100,0,0,0,,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,2,2,2,3,特快,40,1,-1,100,,,天型2级,天型2级,强击瓶,10,毒瓶,10,麻瓶,10,眠瓶,10,,,无惧箭,10,,,,,1,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190024,LV3贯通弓（天型3）（龙属性）,LV3贯通弓（天型3）（龙属性）,1,1,ep_lslw_10,1,1,1,2,1,10,2,0,0,1,0,0,50,1,0,0,0,,400200,400200,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,5,30,1,1,0,0,10,450,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,100,0,0,0,,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,3,3,3,3,特快,40,1,-1,100,,,天型3级,天型3级,强击瓶,10,毒瓶,10,麻瓶,10,眠瓶,10,,,无惧箭,10,,,,,1,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190025,LV4贯通弓（天型3）（龙属性）,LV4贯通弓（天型4）（龙属性）,1,1,ep_lslw_10,1,1,1,2,1,10,2,0,0,1,0,0,50,1,0,0,0,,400200,400200,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,5,30,1,1,0,0,10,450,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,4,4,4,3,特快,40,1,-1,100,,,天型3级,天型3级,强击瓶,10,毒瓶,10,麻瓶,10,眠瓶,10,爆破瓶,20,无惧箭,10,,,,,1,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190026,周挺弓,初访米拉德村的猎人可以使用的弓，使用竹子制作，工艺极为上流。,70,1,ep_lslw_10,1,1,1,2,1,10,2,0,0,1,0,0,50,1,0,0,0,,400200,400200,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,10,0,99,1,0,10,10,40,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,1,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,5,6,10,9,,,1,-1,100,,,天型1级,天型1级,强击瓶,10,毒瓶,10,,,,,,,无惧箭,10,,,,,1,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,1,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190027,训练用弓,"""<FONT COLOR=\""\""\#C6B262\""\"">训练专用，离开训练场后将归还猎人工会</FONT>""",1,1,ep_lslw_10,0,1,1,2,1,10,2,0,0,1,0,0,50,1,0,0,0,,400200,400200,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,10,0,99,1,0,0,10,40,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,5,6,10,9,,,1,-1,100,,,天型1级,天型1级,强击瓶,10,毒瓶,10,,,,,,,无惧箭,10,,,,,1,1,2,3,,,,1,,,,,,,Y,,,1,1,1,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,
190500,冒险者之弓,以岩龙素材制成重量非凡的弓，坚硬的弓弦需要极大力量拉开。,25,1,ep_xf_10,0,1,1,2,1,10,2,0,0,1,0,0,56000,560,0,0,0,,400023,400023,25,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,10,0,99,1,0,0,10,98,0,-10,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,6,7,3,7,,,1,-1,100,,,地型2级,地型2级,强击瓶,10,眠瓶,10,,,,,,,无惧箭,10,,,,,5,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190501,镰引,使用镰蟹素材打造的弓箭，坚硬的甲壳质地使得弓箭本身犹如磐石一般。,35,1,ep_lx_10,0,1,1,2,1,10,2,0,0,1,0,0,161000,1610,0,0,0,,400015,400015,35,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,10,0,99,1,0,0,10,93,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,24,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,3,3,3,7,,,1,-1,100,,,地型1级,地型2级,强击瓶,10,毒瓶,10,麻瓶,10,,,,,无惧箭,10,,,,,7,11,12,13,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
